,id,tytułpolski,tytułoryginalny,rokprodukcji,ulubione,ocena,komentarz,krajprodukcji,gatunek,data
454,32236,Niebo,Heaven,2002,,4,,"Francja, Niemcy, USA, Wielka Brytania, Włochy","Melodramat, Thriller",2014-9-18
455,1211,Lista Schindlera,Schindler's List,1993,,8,,USA,"Dramat, Wojenny",2014-9-16
456,32595,Lilo i Stich,Lilo & Stitch,2002,,8,,USA,"Animacja, Familijny, Komedia, Sci-Fi",2014-9-16
457,666828,Wenus w futrze,La Vénus à la fourrure,2013,,7,,"Francja, Polska","Dramat, Komedia",2014-9-16
458,32011,Kręgosłup diabła,El Espinazo del diablo,2001,,5,,"Argentyna, Hiszpania, Meksyk","Dramat, Horror",2014-9-16
459,1252,Barton Fink,,1991,,7,,"USA, Wielka Brytania","Dramat, Komedia",2014-9-16
460,659015,Królowie lata,The Kings of Summer,2013,,6,,USA,"Dramat, Komedia",2014-9-16
461,700753,Czy Noam Chomsky jest wysoki czy szczęśliwy?,Is the Man Who Is Tall Happy?: An Animated Conversation with Noam Chomsky,2013,,6,,Francja,"Animacja, Dokumentalny",2014-9-16
462,293878,Oszukana,Changeling,2008,,7,,USA,Dramat obyczajowy,2014-9-16
463,693468,Blue Ruin,,2013,,5,,"Francja, USA",Thriller,2014-9-16
464,196079,Biegając z nożyczkami,Running with Scissors,2006,,8,,USA,"Biograficzny, Dramat, Komedia",2014-9-5
465,548252,Jestem Bogiem,Limitless,2011,,7,,USA,"Thriller, Sci-Fi",2014-9-4
466,687712,Lucy,,2014,,3,,Francja,"Akcja, Sci-Fi",2014-9-4
467,485716,Całe życie z wariatami,Shrink,2009,,8,,USA,Dramat,2014-9-2
468,166528,Przebudzenie,Awake,2007,,6,,USA,Thriller,2014-8-28
469,747,Porachunki,"Lock, Stock and Two Smoking Barrels",1998,,6,,Wielka Brytania,Komedia kryminalna,2014-8-24
470,1326,Przekręt,Snatch.,2000,,8,,"USA, Wielka Brytania",Komedia kryminalna,2014-8-24
471,119007,Bękarty diabła,The Devil's Rejects,2005,,3,,"Niemcy, USA",Horror,2014-8-23
472,490878,Paul,,2011,,6,,"USA, Wielka Brytania","Komedia, Przygodowy, Sci-Fi",2014-8-21
473,676755,Borgman,,2013,,5,,"Belgia, Dania, Holandia",Thriller,2014-8-18
474,219977,Fido,,2006,,2,,Kanada,Czarna komedia,2014-8-10
475,614296,Rabusie kontra zombie,Cockneys vs Zombies,2012,tak,9,,Wielka Brytania,Czarna komedia,2014-8-9
476,452824,Repo Men - Windykatorzy,Repo Men,2010,,7,,"Kanada, USA","Thriller, Akcja, Sci-Fi",2014-8-1
477,3933,Armia ciemności,Army of Darkness,1992,,6,,USA,"Horror, Komedia",2014-8-1
478,592692,Przetrwanie,The Grey,2011,,7,,USA,"Dramat, Przygodowy, Thriller",2014-7-19
479,595571,Łowca,The Hunter,2011,,7,,Australia,"Dramat, Przygodowy",2014-7-4
480,30709,Martwe zło,The Evil Dead,1981,,7,,USA,Horror,2014-7-4
481,184151,Koralina i tajemnicze drzwi,Coraline,2009,,8,,USA,"Animacja, Familijny, Fantasy",2014-7-4
482,30710,Martwe zło 2,Evil Dead II,1987,,7,,USA,"Horror, Komedia",2014-7-3
483,30677,Jabberwocky,,1977,,6,,Wielka Brytania,"Fantasy, Komedia, Przygodowy",2014-6-24
484,331014,Jak wytresować smoka,How to Train Your Dragon,2010,,6,,USA,"Animacja, Familijny, Fantasy, Przygodowy",2014-6-21
485,577622,Na skraju jutra,Edge of Tomorrow,2014,,8,,"Kanada, USA","Akcja, Sci-Fi",2014-6-18
486,104359,Van Helsing,,2004,,2,,"Czechy, USA, Rumunia","Horror, Przygodowy",2014-6-12
487,494685,Madagaskar 3,Madagascar 3: Europe's Most Wanted,2012,,3,,USA,"Animacja, Familijny, Komedia, Przygodowy",2014-6-12
488,100557,"Ladykillers, czyli zabójczy kwintet",The Ladykillers,2004,,7,,USA,Komedia kryminalna,2014-6-3
489,34739,O miłości i śmierci,Dellamorte Dellamore,1994,,8,,"Francja, Niemcy, Włochy","Horror, Komedia",2014-5-24
490,9701,W mgnieniu oka,Split Second,1992,,7,,"USA, Wielka Brytania","Horror, Sci-Fi",2014-5-24
491,565162,Godzilla,,2014,,4,,"Japonia, USA","Akcja, Sci-Fi",2014-5-22
492,535786,Kołysanka,,2010,,6,,Polska,Czarna komedia,2014-5-16
493,510,Batman i Robin,Batman & Robin,1997,,1,,"USA, Wielka Brytania","Fantasy, Akcja",2014-5-10
494,580801,Atlas chmur,Cloud Atlas,2012,,5,,"Hongkong, Niemcy, Singapur, USA","Dramat, Sci-Fi",2014-5-10
495,4056,Ćma barowa,Barfly,1987,,6,,USA,Dramat obyczajowy,2014-5-10
496,430851,Tajne przez poufne,Burn After Reading,2008,,8,,"Francja, USA, Wielka Brytania",Komedia kryminalna,2014-5-3
497,348062,Sztuka płakania,Kunsten at græde i kor,2006,,8,,Dania,Dramat,2014-4-30
498,113192,Być jak Stanley Kubrick,Colour Me Kubrick: A True... ish Story,2005,,6,,"Francja, Wielka Brytania","Dramat, Komedia",2014-4-16
499,1075,American Psycho,,2000,,9,,USA,Thriller,2014-4-14
500,616928,Red 2,,2013,,6,,"Francja, Kanada, USA","Komedia, Akcja",2014-4-4
501,30926,Brudne pieniądze,Bound,1996,,8,,USA,"Dramat, Kryminał, Thriller",2014-4-2
502,627751,Sztanga i cash,Pain & Gain,2013,,8,,USA,"Akcja, Komedia kryminalna",2014-3-17
503,482808,RoboCop,,2014,,8,,USA,"Akcja, Sci-Fi",2014-2-16
504,426597,Wilk z Wall Street,The Wolf of Wall Street,2013,,5,,USA,"Biograficzny, Komedia kryminalna",2014-2-7
505,1423,Dogma,,1999,,6,,USA,"Fantasy, Komedia",2014-1-25
506,540786,Policja zastępcza,The Other Guys,2010,,8,,USA,"Akcja, Komedia kryminalna",2014-1-24
