ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,originalTitle,startYear,genre_eng,titleType,primaryTitle,isAdult,endYear,runtimeMinutes,genres,averageRating,numVotes,similarity,diff,averageRating_int
4185,Wielka draka w chińskiej dzielnicy,Big Trouble in Little China,1986,0,9,USA,"Fantasy, Komedia, Akcja",2013-4-24,Big Trouble in Little China,1986,"fantasy, comedy, action",movie,Big Trouble in Little China,0,\N,99,"Action,Adventure,Comedy",7.3,116112,0,1.7000000000000002,7
419862,Droga do szczęścia,Revolutionary Road,2008,0,8,"USA, Wielka Brytania",Melodramat,2017-12-6,Revolutionary Road,2008,melodramat,movie,Revolutionary Road,0,\N,119,"Drama,Romance",7.3,183070,0,0.7000000000000002,7
420755,Maczeta,Machete,2010,0,5,USA,Akcja,2013-9-6,Machete,2010,action,movie,Machete,0,\N,105,"Action,Crime,Thriller",6.6,184861,0,-1.5999999999999996,7
424416,Walkiria,Valkyrie,2008,0,6,"Niemcy, USA","Biograficzny, Dramat historyczny",2010-6-2,Valkyrie,2008,"biographic, dramat historyczny",movie,Valkyrie,0,\N,121,"Drama,History,Thriller",7.1,217929,0,-1.0999999999999996,7
426597,Wilk z Wall Street,The Wolf of Wall Street,2013,0,5,USA,"Biograficzny, Komedia kryminalna",2014-2-7,The Wolf of Wall Street,2013,"biographic, komedia kryminalna",movie,The Wolf of Wall Street,0,\N,180,"Biography,Crime,Drama",8.2,1075975,0,-3.1999999999999993,8
430428,Surogaci,Surrogates,2009,0,5,USA,"Thriller, Sci-Fi",2010-6-2,Surrogates,2009,"thriller, sci-fi",movie,Surrogates,0,\N,89,"Action,Crime,Sci-Fi",6.3,164931,0,-1.2999999999999998,6
430851,Tajne przez poufne,Burn After Reading,2008,0,8,"Francja, USA, Wielka Brytania",Komedia kryminalna,2014-5-3,Burn After Reading,2008,komedia kryminalna,movie,Burn After Reading,0,\N,96,"Comedy,Crime,Drama",7.0,293794,0,1.0,7
441997,Rock'N'Rolla,RocknRolla,2008,0,7,Wielka Brytania,Kryminał,2010-6-2,RocknRolla,2008,crime,movie,RocknRolla,0,\N,114,"Action,Crime,Thriller",7.3,223679,0,-0.2999999999999998,7
4475,Oko kota,Cat's Eye,1985,0,7,USA,"Horror, Komedia, Nowele filmowe",2017-9-9,Cat's Eye,1985,"horror, comedy, nowele filmowe",movie,Cat's Eye,0,\N,94,"Comedy,Horror,Thriller",6.3,21492,0,0.7000000000000002,6
448713,Projekt: Monster,Cloverfield,2008,0,9,USA,"Akcja, Sci-Fi",2019-3-16,Cloverfield,2008,"action, sci-fi",movie,Cloverfield,0,\N,85,"Horror,Sci-Fi,Thriller",7.0,357938,0,2.0,7
450915,Jestem na tak,Yes Man,2008,0,7,"Australia, USA",Komedia rom.,2011-7-5,Yes Man,2008,komedia rom.,movie,Yes Man,0,\N,104,"Comedy,Romance",6.8,316993,0,0.20000000000000018,7
451718,Sposób na gangstera,Perrier's Bounty,2009,0,6,"Irlandia, Wielka Brytania","Dramat, Komedia kryminalna",2018-5-6,Perrier's Bounty,2009,"drama, komedia kryminalna",movie,Perrier's Bounty,0,\N,88,"Action,Comedy,Crime",6.4,6106,0,-0.40000000000000036,6
452679,Poznaj moich Spartan,Meet the Spartans,2008,0,3,USA,Komedia,2010-6-2,Meet the Spartans,2008,comedy,movie,Meet the Spartans,0,\N,86,Comedy,2.8,98741,0,0.20000000000000018,3
452824,Repo Men - Windykatorzy,Repo Men,2010,0,7,"Kanada, USA","Thriller, Akcja, Sci-Fi",2014-8-1,Repo Men,2010,"thriller, action, sci-fi",movie,Repo Men,0,\N,111,"Action,Adventure,Crime",6.3,97456,0,0.7000000000000002,6
459974,Siedem dusz,Seven Pounds,2008,0,6,USA,Dramat,2010-6-1,Seven Pounds,2008,drama,movie,Seven Pounds,0,\N,123,Drama,7.6,273970,0,-1.5999999999999996,8
