,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,movieId,tmdbId,link,ml_title,ml_genres,ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,Rok,OcenaImdb,genre_eng,similarity,diff,averageRating_int
tt1560747,movie,The Master,The Master,0,2012,\N,138,Drama,7.2,138435,96728,68722,https://www.imdb.com/title/tt1560747/,1560747,68722,583006,Mistrz,The Master,2012,0,7,USA,Dramat,2014-1-14,2014,3.5,drama,0,-0.20000000000000018,7
tt1567437,movie,The Voices,The Voices,0,2014,\N,103,"Comedy,Crime,Horror",6.4,49891,118082,244458,https://www.imdb.com/title/tt1567437/,1567437,244458,557434,Głosy,The Voices,2014,0,6,"Niemcy, USA","Thriller, Komedia kryminalna",2015-11-28,2015,3.0,"thriller, komedia kryminalna",0,-0.40000000000000036,6
tt1570728,movie,"Crazy, Stupid, Love.","Crazy, Stupid, Love.",0,2011,\N,118,"Comedy,Drama,Romance",7.4,446279,88163,50646,https://www.imdb.com/title/tt1570728/,1570728,50646,564225,"Kocha, lubi, szanuje","Crazy, Stupid, Love.",2011,0,6,USA,"Dramat, Komedia, Romans",2012-7-11,2012,3.0,"drama, comedy, romance",0,-1.4000000000000004,7
tt1582507,movie,House at the End of the Street,House at the End of the Street,0,2012,\N,101,"Drama,Horror,Thriller",5.6,67581,96917,82505,https://www.imdb.com/title/tt1582507/,1582507,82505,576014,Dom na końcu ulicy,House at the End of the Street,2012,0,2,"Kanada, USA",Thriller,2013-11-20,2013,1.0,thriller,0,-3.5999999999999996,6
tt1587310,movie,Maleficent,Maleficent,0,2014,\N,97,"Action,Adventure,Family",7.0,321359,111659,102651,https://www.imdb.com/title/tt1587310/,1587310,102651,557330,Czarownica,Maleficent,2014,0,7,USA,"Familijny, Fantasy",2014-9-21,2014,3.5,"familijny, fantasy",0,0.0,7
tt1590193,movie,The Commuter,The Commuter,0,2018,\N,105,"Action,Mystery,Thriller",6.3,90602,183011,399035,https://www.imdb.com/title/tt1590193/,1590193,399035,560109,Pasażer,The Commuter,2018,0,6,"USA, Wielka Brytania",Thriller,2018-4-29,2018,3.0,thriller,0,-0.2999999999999998,6
tt1596345,movie,Pawn Sacrifice,Pawn Sacrifice,0,2014,\N,115,"Biography,Drama,Sport",7.0,36363,142507,245698,https://www.imdb.com/title/tt1596345/,1596345,245698,563486,Pionek,Pawn Sacrifice,2014,0,5,USA,"Biograficzny, Dramat",2017-8-31,2017,2.5,"biographic, drama",0,-2.0,7
tt1596363,movie,The Big Short,The Big Short,0,2015,\N,130,"Biography,Comedy,Drama",7.8,323963,148626,318846,https://www.imdb.com/title/tt1596363/,1596363,318846,732548,Big Short,The Big Short,2015,0,8,USA,Dramat,2016-3-27,2016,4.0,drama,0,0.20000000000000018,8
tt1596365,movie,The Woman in Black,The Woman in Black,0,2012,\N,95,"Drama,Fantasy,Horror",6.4,168235,92422,65086,https://www.imdb.com/title/tt1596365/,1596365,65086,570991,Kobieta w czerni,The Woman in Black,2012,0,5,"Kanada, Szwecja, Wielka Brytania","Dramat, Horror",2012-3-13,2012,2.5,"drama, horror",0,-1.4000000000000004,6
tt1598778,movie,Contagion,Contagion,0,2011,\N,106,"Action,Drama,Sci-Fi",6.6,204784,89470,39538,https://www.imdb.com/title/tt1598778/,1598778,39538,559895,Contagion - Epidemia strachu,Contagion,2011,0,6,"USA, Zjednoczone Emiraty Arabskie","Dramat, Sci-Fi",2011-11-2,2011,3.0,"drama, sci-fi",0,-0.5999999999999996,7
tt1600196,movie,The Drop,The Drop,0,2014,\N,106,"Crime,Drama",7.1,135439,114060,154400,https://www.imdb.com/title/tt1600196/,1600196,154400,676101,Brudny szmal,The Drop,2014,0,7,USA,"Dramat, Kryminał",2015-1-2,2015,3.5,"drama, crime",0,-0.09999999999999964,7
tt1602472,movie,2 Days in New York,2 Days in New York,0,2012,\N,96,"Comedy,Drama,Romance",6.0,13475,95744,84165,https://www.imdb.com/title/tt1602472/,1602472,84165,565989,2 dni w Nowym Jorku,2 Days in New York,2012,0,3,"Belgia, Francja, Niemcy",Komedia,2012-12-22,2012,1.5,comedy,0,-3.0,6
tt1602613,movie,Only God Forgives,Only God Forgives,0,2013,\N,90,"Action,Crime,Drama",5.7,102747,102684,77987,https://www.imdb.com/title/tt1602613/,1602613,77987,579290,Tylko Bóg wybacza,Only God Forgives,2013,0,5,"Dania, Francja, Szwecja, USA, Tajlandia","Kryminał, Thriller",2013-9-10,2013,2.5,"crime, thriller",0,-0.7000000000000002,6
tt1605783,movie,Midnight in Paris,Midnight in Paris,0,2011,\N,94,"Comedy,Fantasy,Romance",7.7,364755,86882,59436,https://www.imdb.com/title/tt1605783/,1605783,59436,562509,O północy w Paryżu,Midnight in Paris,2011,0,5,"Hiszpania, USA","Fantasy, Komedia rom.",2011-9-5,2011,2.5,"fantasy, komedia rom.",0,-2.7,8
