,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,movieId,tmdbId,link,ml_title,ml_genres,ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,Rok,OcenaImdb,genre_eng,similarity,diff,averageRating_int
tt0091064,movie,The Fly,The Fly,0,1986,\N,96,"Drama,Horror,Sci-Fi",7.5,149213,2455,9426,https://www.imdb.com/title/tt0091064/,0091064,9426,7900,Mucha,The Fly,1986,0,7,"Kanada, USA, Wielka Brytania","Horror, Sci-Fi",2011-10-20,2011,3.5,"horror, sci-fi",0,-0.5,8
tt0092783,movie,Cop,Cop,0,1988,\N,110,"Crime,Drama,Mystery",6.4,4073,4093,31701,https://www.imdb.com/title/tt0092783/,0092783,31701,5846,Gliniarz,Cop,1988,0,5,USA,"Dramat, Kryminał, Thriller",2019-3-9,2019,2.5,"drama, crime, thriller",0,-1.4000000000000004,6
tt0094964,movie,Dead Ringers,Dead Ringers,0,1988,\N,116,"Drama,Horror,Thriller",7.3,37672,2551,9540,https://www.imdb.com/title/tt0094964/,0094964,9540,572,Nierozłączni,Dead Ringers,1988,0,5,"Kanada, USA","Dramat, Thriller",2017-4-27,2017,2.5,"drama, thriller",0,-2.3,7
tt0100802,movie,Total Recall,Total Recall,0,1990,\N,113,"Action,Sci-Fi,Thriller",7.5,284810,2916,861,https://www.imdb.com/title/tt0100802/,0100802,861,1459,Pamięć absolutna,Total Recall,1990,0,7,USA,"Thriller, Akcja, Sci-Fi",2011-10-20,2011,3.5,"thriller, action, sci-fi",0,-0.5,8
tt0101889,movie,The Fisher King,The Fisher King,0,1991,\N,137,"Comedy,Drama,Fantasy",7.5,75020,3108,177,https://www.imdb.com/title/tt0101889/,0101889,177,1069,Fisher King,The Fisher King,1991,0,8,USA,"Dramat, Komedia",2011-10-20,2011,4.0,"drama, comedy",0,0.5,8
tt0102536,movie,Night on Earth,Night on Earth,0,1991,\N,129,"Comedy,Drama",7.8,51649,1279,339,https://www.imdb.com/title/tt0102536/,0102536,339,8171,Noc na Ziemi,Night on Earth,1991,0,7,"Francja, Japonia, Niemcy, USA, Wielka Brytania","Dramat, Komedia, Nowele filmowe",2014-9-3,2014,3.5,"drama, comedy, nowele filmowe",0,-0.7999999999999998,8
tt0102685,movie,Point Break,Point Break,0,1991,\N,122,"Action,Crime,Thriller",7.3,144766,4351,1089,https://www.imdb.com/title/tt0102685/,0102685,1089,7967,Na fali,Point Break,1991,0,7,USA,Sensacyjny,2019-8-8,2019,3.5,sensacyjny,0,-0.2999999999999998,7
tt0102926,movie,The Silence of the Lambs,The Silence of the Lambs,0,1991,\N,118,"Crime,Drama,Thriller",8.6,1176398,593,274,https://www.imdb.com/title/tt0102926/,0102926,274,1047,Milczenie owiec,The Silence of the Lambs,1991,0,7,USA,Thriller,2011-8-4,2011,3.5,thriller,0,-1.5999999999999996,9
tt0103064,movie,Terminator 2: Judgment Day,Terminator 2: Judgment Day,0,1991,\N,137,"Action,Sci-Fi",8.5,939548,589,280,https://www.imdb.com/title/tt0103064/,0103064,280,992,Terminator 2: Dzień sądu,Terminator 2: Judgment Day,1991,0,8,"Francja, USA","Akcja, Sci-Fi",2011-9-1,2011,4.0,"action, sci-fi",0,-0.5,8
tt0103074,movie,Thelma & Louise,Thelma & Louise,0,1991,\N,130,"Adventure,Crime,Drama",7.5,125950,3418,1541,https://www.imdb.com/title/tt0103074/,0103074,1541,984,Thelma i Louise,Thelma & Louise,1991,0,7,"Francja, USA, Wielka Brytania",Dramat,2011-10-20,2011,3.5,drama,0,-0.5,8
tt0103644,movie,Alien³,Alien³,0,1992,\N,114,"Action,Horror,Sci-Fi",6.5,262012,1320,8077,https://www.imdb.com/title/tt0103644/,0103644,8077,8243,Obcy 3,Alien³,1992,0,7,USA,"Horror, Sci-Fi",2011-10-20,2011,3.5,"horror, sci-fi",0,0.5,6
tt0103873,movie,Dead Alive,Braindead,0,1992,\N,104,"Comedy,Horror",7.5,88046,1241,763,https://www.imdb.com/title/tt0103873/,0103873,763,30990,Martwica mózgu,Braindead,1992,0,8,Nowa Zelandia,"Horror, Komedia",2011-10-20,2011,4.0,"horror, comedy",0,0.5,8
tt0105323,movie,Scent of a Woman,Scent of a Woman,0,1992,\N,156,Drama,8.0,240304,3252,9475,https://www.imdb.com/title/tt0105323/,0105323,9475,1093,Zapach kobiety,Scent of a Woman,1992,0,5,USA,Dramat,2011-8-4,2011,2.5,drama,0,-3.0,8
tt0105665,movie,Twin Peaks: Fire Walk with Me,Twin Peaks: Fire Walk with Me,0,1992,\N,134,"Drama,Horror,Mystery",7.3,79355,3262,1923,https://www.imdb.com/title/tt0105665/,0105665,1923,1070,Miasteczko Twin Peaks. Ogniu krocz za mną.,Twin Peaks: Fire Walk with Me,1992,0,8,"Francja, USA","Dramat, Thriller",2011-10-20,2011,4.0,"drama, thriller",0,0.7000000000000002,7
tt0105695,movie,Unforgiven,Unforgiven,0,1992,\N,130,"Drama,Western",8.2,351154,1266,33,https://www.imdb.com/title/tt0105695/,0105695,33,1241,Bez przebaczenia,Unforgiven,1992,0,6,USA,Western,2013-12-12,2013,3.0,western,0,-2.1999999999999993,8
tt0106582,movie,Cliffhanger,Cliffhanger,0,1993,\N,113,"Action,Adventure,Thriller",6.4,113953,434,9350,https://www.imdb.com/title/tt0106582/,0106582,9350,7971,Na krawędzi,Cliffhanger,1993,0,5,"Francja, USA, Włochy","Przygodowy, Thriller",2018-9-10,2018,2.5,"przygodowy, thriller",0,-1.4000000000000004,6
tt0107818,movie,Philadelphia,Philadelphia,0,1993,\N,125,Drama,7.7,211184,508,9800,https://www.imdb.com/title/tt0107818/,0107818,9800,1222,Filadelfia,Philadelphia,1993,0,5,USA,Dramat,2011-8-4,2011,2.5,drama,0,-2.7,8
tt0107822,movie,The Piano,The Piano,0,1993,\N,121,"Drama,Music,Romance",7.6,74492,509,713,https://www.imdb.com/title/tt0107822/,0107822,713,1058,Fortepian,The Piano,1993,0,8,"Australia, Francja, Nowa Zelandia","Kostiumowy, Melodramat",2011-10-20,2011,4.0,"costume, melodramat",0,0.40000000000000036,8
tt0107927,movie,The Real McCoy,The Real McCoy,0,1993,\N,105,"Crime,Drama,Thriller",5.5,7985,7031,2047,https://www.imdb.com/title/tt0107927/,0107927,2047,8111,Niesamowita McCoy,The Real McCoy,1993,0,6,USA,Sensacyjny,2016-11-8,2016,3.0,sensacyjny,0,0.5,6
tt0110413,movie,Léon: The Professional,Léon,0,1994,\N,110,"Action,Crime,Drama",8.5,960950,293,101,https://www.imdb.com/title/tt0110413/,0110413,101,671,Leon zawodowiec,Léon,1994,0,8,Francja,"Dramat, Kryminał",2011-10-3,2011,4.0,"drama, crime",0,-0.5,8
tt0111161,movie,The Shawshank Redemption,The Shawshank Redemption,0,1994,\N,142,Drama,9.3,2170642,318,278,https://www.imdb.com/title/tt0111161/,0111161,278,1048,Skazani na Shawshank,The Shawshank Redemption,1994,0,8,USA,Dramat,2011-8-4,2011,4.0,drama,0,-1.3000000000000007,9
tt0112641,movie,Casino,Casino,0,1995,\N,178,"Crime,Drama",8.2,429587,16,524,https://www.imdb.com/title/tt0112641/,0112641,524,1029,Kasyno,Casino,1995,0,8,"Francja, USA","Dramat, Gangsterski",2014-3-17,2014,4.0,"drama, gangsterski",0,-0.1999999999999993,8
tt0112818,movie,Dead Man Walking,Dead Man Walking,0,1995,\N,122,"Crime,Drama",7.5,84383,36,687,https://www.imdb.com/title/tt0112818/,0112818,687,645,Przed egzekucją,Dead Man Walking,1995,0,6,"USA, Wielka Brytania","Dramat, Kryminał",2011-10-20,2011,3.0,"drama, crime",0,-1.5,8
tt0113627,movie,Leaving Las Vegas,Leaving Las Vegas,0,1995,\N,111,"Drama,Romance",7.5,108945,25,451,https://www.imdb.com/title/tt0113627/,0113627,451,627,Zostawić Las Vegas,Leaving Las Vegas,1995,0,8,"Francja, USA, Wielka Brytania",Melodramat,2011-10-20,2011,4.0,melodramat,0,0.5,8
tt0113870,movie,Murder in the First,Murder in the First,0,1995,\N,122,"Drama,Thriller",7.3,25268,280,8438,https://www.imdb.com/title/tt0113870/,0113870,8438,1055,Morderstwo pierwszego stopnia,Murder in the First,1995,0,7,"Francja, USA",Dramat sądowy,2011-11-2,2011,3.5,dramat sądowy,0,-0.2999999999999998,7
tt0114369,movie,Se7en,Se7en,0,1995,\N,127,"Crime,Drama,Mystery",8.6,1334880,47,807,https://www.imdb.com/title/tt0114369/,0114369,807,702,Siedem,Se7en,1995,0,7,USA,"Kryminał, Thriller",2011-8-4,2011,3.5,"crime, thriller",0,-1.5999999999999996,9
tt0114478,movie,Smoke,Smoke,0,1995,\N,112,"Comedy,Drama",7.4,31809,194,10149,https://www.imdb.com/title/tt0114478/,0114478,10149,1467,Dym,Smoke,1995,0,7,"Japonia, Niemcy, USA","Dramat, Komedia",2011-10-19,2011,3.5,"drama, comedy",0,-0.40000000000000036,7
tt0114746,movie,12 Monkeys,Twelve Monkeys,0,1995,\N,129,"Mystery,Sci-Fi,Thriller",8.0,549665,32,63,https://www.imdb.com/title/tt0114746/,0114746,63,1210,12 małp,Twelve Monkeys,1995,0,7,USA,"Dramat, Sci-Fi",2011-10-20,2011,3.5,"drama, sci-fi",0,-1.0,8
tt0115857,movie,Chain Reaction,Chain Reaction,0,1996,\N,107,"Action,Drama,Sci-Fi",5.7,46163,836,12123,https://www.imdb.com/title/tt0115857/,0115857,12123,4497,Reakcja łańcuchowa,Chain Reaction,1996,0,4,USA,Thriller,2017-1-13,2017,2.0,thriller,0,-1.7000000000000002,6
tt0116654,movie,The Island of Dr. Moreau,The Island of Dr. Moreau,0,1996,\N,96,"Horror,Sci-Fi,Thriller",4.5,29651,880,9306,https://www.imdb.com/title/tt0116654/,0116654,9306,620,Wyspa doktora Moreau,The Island of Dr. Moreau,1996,0,7,USA,"Thriller, Sci-Fi",2015-4-3,2015,3.5,"thriller, sci-fi",0,2.5,4
tt0116922,movie,Lost Highway,Lost Highway,0,1997,\N,134,"Mystery,Thriller",7.6,121954,1464,638,https://www.imdb.com/title/tt0116922/,0116922,638,624,Zagubiona autostrada,Lost Highway,1997,0,7,"Francja, USA","Dramat, Kryminał, Thriller",2011-10-19,2011,3.5,"drama, crime, thriller",0,-0.5999999999999996,8
tt0117603,movie,Set It Off,Set It Off,0,1996,\N,123,"Action,Crime,Drama",6.9,12984,998,9400,https://www.imdb.com/title/tt0117603/,0117603,9400,37,Desperatki,Set It Off,1996,0,6,USA,"Dramat, Sensacyjny, Thriller",2019-8-24,2019,3.0,"drama, sensacyjny, thriller",0,-0.9000000000000004,7
tt0118799,movie,Life Is Beautiful,La vita è bella,0,1997,\N,116,"Comedy,Drama,Romance",8.6,574171,2324,637,https://www.imdb.com/title/tt0118799/,0118799,637,208,Życie jest piękne,La vita è bella,1997,0,8,Włochy,"Dramat, Komedia, Wojenny",2014-5-9,2014,4.0,"drama, comedy, war",0,-0.5999999999999996,9
tt0118929,movie,Dark City,Dark City,0,1998,\N,100,"Mystery,Sci-Fi,Thriller",7.6,180245,1748,2666,https://www.imdb.com/title/tt0118929/,0118929,2666,4885,Mroczne miasto,Dark City,1998,0,3,"Australia, USA","Thriller, Sci-Fi",2011-10-20,2011,1.5,"thriller, sci-fi",0,-4.6,8
tt0118971,movie,The Devil's Advocate,The Devil's Advocate,0,1997,\N,144,"Drama,Mystery,Thriller",7.5,309766,1645,1813,https://www.imdb.com/title/tt0118971/,0118971,1813,2,Adwokat diabła,The Devil's Advocate,1997,0,7,"Niemcy, USA",Thriller,2011-8-4,2011,3.5,thriller,0,-0.5,8
tt0119116,movie,The Fifth Element,The Fifth Element,0,1997,\N,126,"Action,Adventure,Sci-Fi",7.7,412618,1527,18,https://www.imdb.com/title/tt0119116/,0119116,18,144,Piąty element,The Fifth Element,1997,0,5,Francja,"Akcja, Sci-Fi",2011-10-20,2011,2.5,"action, sci-fi",0,-2.7,8
tt0119223,movie,Great Expectations,Great Expectations,0,1998,\N,111,"Drama,Romance",6.9,49191,1735,9410,https://www.imdb.com/title/tt0119223/,0119223,9410,197,Wielkie nadzieje,Great Expectations,1998,0,9,USA,Melodramat,2011-9-5,2011,4.5,melodramat,0,2.0999999999999996,7
tt0119395,movie,The Jackal,The Jackal,0,1997,\N,124,"Action,Crime,Drama",6.4,101519,1687,4824,https://www.imdb.com/title/tt0119395/,0119395,4824,178,Szakal,The Jackal,1997,0,7,"Francja, Japonia, Niemcy, USA, Wielka Brytania",Sensacyjny,2011-10-20,2011,3.5,sensacyjny,0,0.5999999999999996,6
tt0119643,movie,Meet Joe Black,Meet Joe Black,0,1998,\N,178,"Drama,Fantasy,Romance",7.2,200799,2340,297,https://www.imdb.com/title/tt0119643/,0119643,297,74,Joe Black,Meet Joe Black,1998,0,3,USA,"Fantasy, Melodramat",2019-1-1,2019,1.5,"fantasy, melodramat",0,-4.2,7
tt0120382,movie,The Truman Show,The Truman Show,0,1998,\N,103,"Comedy,Drama,Sci-Fi",8.1,865718,1682,37165,https://www.imdb.com/title/tt0120382/,0120382,37165,189,Truman Show,The Truman Show,1998,0,6,USA,"Dramat, Komedia, Sci-Fi",2011-8-4,2011,3.0,"drama, comedy, sci-fi",0,-2.0999999999999996,8
tt0120399,movie,U Turn,U Turn,0,1997,\N,125,"Crime,Drama,Thriller",6.8,47371,1627,10155,https://www.imdb.com/title/tt0120399/,0120399,10155,5206,Droga przez piekło,U Turn,1997,0,7,"Francja, USA","Dramat, Kryminał, Thriller",2018-8-7,2018,3.5,"drama, crime, thriller",0,0.20000000000000018,7
tt0120586,movie,American History X,American History X,0,1998,\N,119,Drama,8.5,978292,2329,73,https://www.imdb.com/title/tt0120586/,0120586,73,30633,Więzień nienawiści,American History X,1998,0,6,USA,Dramat,2011-8-4,2011,3.0,drama,0,-2.5,8
tt0120689,movie,The Green Mile,The Green Mile,0,1999,\N,189,"Crime,Drama,Fantasy",8.6,1056580,3147,497,https://www.imdb.com/title/tt0120689/,0120689,497,862,Zielona mila,The Green Mile,1999,0,6,USA,Dramat,2011-8-4,2011,3.0,drama,0,-2.5999999999999996,9
tt0120755,movie,Mission: Impossible II,Mission: Impossible II,0,2000,\N,123,"Action,Adventure,Thriller",6.1,297722,3623,955,https://www.imdb.com/title/tt0120755/,0120755,955,938,Mission: Impossible 2,Mission: Impossible II,2000,0,4,"Niemcy, USA",Sensacyjny,2012-1-30,2012,2.0,sensacyjny,0,-2.0999999999999996,6
tt0120787,movie,A Perfect Murder,A Perfect Murder,0,1998,\N,107,"Crime,Drama,Thriller",6.5,75000,1892,1965,https://www.imdb.com/title/tt0120787/,0120787,1965,122,Morderstwo doskonałe,A Perfect Murder,1998,0,8,USA,Thriller,2011-10-22,2011,4.0,thriller,0,1.5,6
tt0120915,movie,Star Wars: Episode I - The Phantom Menace,Star Wars: Episode I - The Phantom Menace,0,1999,\N,136,"Action,Adventure,Fantasy",6.5,677549,2628,1893,https://www.imdb.com/title/tt0120915/,0120915,1893,520,Gwiezdne wojny: Część I - Mroczne widmo,Star Wars: Episode I - The Phantom Menace,1999,0,5,USA,"Przygodowy, Sci-Fi",2016-1-24,2016,2.5,"przygodowy, sci-fi",0,-1.5,6
tt0121765,movie,Star Wars: Episode II - Attack of the Clones,Star Wars: Episode II - Attack of the Clones,0,2002,\N,142,"Action,Adventure,Fantasy",6.6,596404,5378,1894,https://www.imdb.com/title/tt0121765/,0121765,1894,1465,Gwiezdne wojny: Część II - Atak klonów,Star Wars: Episode II - Attack of the Clones,2002,0,4,USA,"Przygodowy, Sci-Fi",2016-1-24,2016,2.0,"przygodowy, sci-fi",0,-2.5999999999999996,7
tt0133093,movie,The Matrix,The Matrix,0,1999,\N,136,"Action,Sci-Fi",8.7,1562789,2571,603,https://www.imdb.com/title/tt0133093/,0133093,603,628,Matrix,The Matrix,1999,0,8,"Australia, USA","Akcja, Sci-Fi",2011-8-4,2011,4.0,"action, sci-fi",0,-0.6999999999999993,9
tt0134119,movie,The Talented Mr. Ripley,The Talented Mr. Ripley,0,1999,\N,139,"Crime,Drama,Thriller",7.4,166932,3176,1213,https://www.imdb.com/title/tt0134119/,0134119,1213,867,Utalentowany pan Ripley,The Talented Mr. Ripley,1999,0,6,USA,"Dramat, Kryminał, Thriller",2011-10-20,2011,3.0,"drama, crime, thriller",0,-1.4000000000000004,7
tt0137523,movie,Fight Club,Fight Club,0,1999,\N,139,Drama,8.8,1734149,2959,550,https://www.imdb.com/title/tt0137523/,0137523,550,837,Podziemny krąg,Fight Club,1999,0,7,"Niemcy, USA","Thriller, Psychologiczny",2011-8-4,2011,3.5,"thriller, psychologiczny",0,-1.8000000000000007,9
tt0138304,movie,The Astronaut's Wife,The Astronaut's Wife,0,1999,\N,109,"Drama,Sci-Fi,Thriller",5.4,51212,2827,2900,https://www.imdb.com/title/tt0138304/,0138304,2900,947,Żona astronauty,The Astronaut's Wife,1999,0,5,USA,"Dramat, Thriller, Sci-Fi",2015-11-25,2015,2.5,"drama, thriller, sci-fi",0,-0.40000000000000036,5
tt0144201,movie,Girl on the Bridge,La fille sur le pont,0,1999,\N,90,"Comedy,Drama,Romance",7.6,12645,3822,10401,https://www.imdb.com/title/tt0144201/,0144201,10401,856,Dziewczyna na moście,La fille sur le pont,1999,0,7,Francja,"Dramat, Komedia, Romans",2014-6-15,2014,3.5,"drama, comedy, romance",0,-0.5999999999999996,8
tt0144715,movie,Holy Smoke,Holy Smoke,0,1999,\N,115,"Comedy,Drama",5.9,13407,3127,13787,https://www.imdb.com/title/tt0144715/,0144715,13787,1476,Święty dym,Holy Smoke,1999,0,3,"Australia, USA","Dramat obyczajowy, Psychologiczny",2018-9-22,2018,1.5,"dramat obyczajowy, psychologiczny",0,-2.9000000000000004,6
tt0146882,movie,High Fidelity,High Fidelity,0,2000,\N,113,"Comedy,Drama,Music",7.5,160789,3481,243,https://www.imdb.com/title/tt0146882/,0146882,243,943,Przeboje i podboje,High Fidelity,2000,0,9,"USA, Wielka Brytania","Dramat, Komedia rom.",2011-10-20,2011,4.5,"drama, komedia rom.",0,1.5,8
tt0147800,movie,10 Things I Hate About You,10 Things I Hate About You,0,1999,\N,97,"Comedy,Drama,Romance",7.3,277442,2572,4951,https://www.imdb.com/title/tt0147800/,0147800,4951,721,Zakochana złośnica,10 Things I Hate About You,1999,0,7,USA,"Komedia, Dla młodzieży",2018-11-13,2018,3.5,"comedy, dla młodzieży",0,-0.2999999999999998,7
tt0162222,movie,Cast Away,Cast Away,0,2000,\N,143,"Adventure,Drama,Romance",7.8,486128,4022,8358,https://www.imdb.com/title/tt0162222/,0162222,8358,1470,Cast Away - poza światem,Cast Away,2000,0,6,USA,Dramat,2011-8-4,2011,3.0,drama,0,-1.7999999999999998,8
tt0163983,movie,Bless the Child,Bless the Child,0,2000,\N,107,"Crime,Drama,Horror",5.1,13461,3857,10391,https://www.imdb.com/title/tt0163983/,0163983,10391,4236,Próba sił,Bless the Child,2000,0,6,"Niemcy, USA","Horror, Religijny",2019-3-25,2019,3.0,"horror, religijny",0,0.9000000000000004,5
tt0166924,movie,Mulholland Dr.,Mulholland Dr.,0,2001,\N,147,"Drama,Mystery,Thriller",7.9,298428,4848,1018,https://www.imdb.com/title/tt0166924/,0166924,1018,30630,Mulholland Drive,Mulholland Dr.,2001,0,8,"Francja, USA","Dramat, Thriller",2011-10-19,2011,4.0,"drama, thriller",0,0.09999999999999964,8
tt0167404,movie,The Sixth Sense,The Sixth Sense,0,1999,\N,107,"Drama,Mystery,Thriller",8.1,864952,2762,745,https://www.imdb.com/title/tt0167404/,0167404,745,825,Szósty zmysł,The Sixth Sense,1999,0,7,USA,Thriller,2011-8-4,2011,3.5,thriller,0,-1.0999999999999996,8
tt0168629,movie,Dancer in the Dark,Dancer in the Dark,0,2000,\N,140,"Crime,Drama,Musical",8.0,96081,3910,16,https://www.imdb.com/title/tt0168629/,0168629,16,1417,Tańcząc w ciemnościach,Dancer in the Dark,2000,0,9,"Argentyna, Dania, Finlandia, Francja, Hiszpania, Holandia, Islandia, Niemcy, Norwegia, Szwecja, USA, Wielka Brytania, Włochy","Dramat, Musical",2014-10-13,2014,4.5,"drama, musical",0,1.0,8
tt0171433,movie,Keeping the Faith,Keeping the Faith,0,2000,\N,128,"Comedy,Drama,Romance",6.3,48440,3536,4967,https://www.imdb.com/title/tt0171433/,0171433,4967,953,Zakazany owoc,Keeping the Faith,2000,0,8,USA,Komedia rom.,2011-10-20,2011,4.0,komedia rom.,0,1.7000000000000002,6
tt0171804,movie,Boys Don't Cry,Boys Don't Cry,0,1999,\N,118,"Biography,Crime,Drama",7.5,88627,2908,226,https://www.imdb.com/title/tt0171804/,0171804,226,879,Nie czas na łzy,Boys Don't Cry,1999,0,7,USA,Dramat,2017-8-25,2017,3.5,drama,0,-0.5,8
tt0172493,movie,"Girl, Interrupted","Girl, Interrupted",0,1999,\N,127,"Biography,Drama",7.3,152346,3186,3558,https://www.imdb.com/title/tt0172493/,0172493,3558,882,Przerwana lekcja muzyki,"Girl, Interrupted",1999,0,5,"Niemcy, USA","Biograficzny, Dramat, Psychologiczny",2017-8-25,2017,2.5,"biographic, drama, psychologiczny",0,-2.3,7
tt0180093,movie,Requiem for a Dream,Requiem for a Dream,0,2000,\N,102,Drama,8.3,719867,3949,641,https://www.imdb.com/title/tt0180093/,0180093,641,9136,Requiem dla snu,Requiem for a Dream,2000,0,7,USA,Dramat,2011-8-4,2011,3.5,drama,0,-1.3000000000000007,8
tt0181984,movie,Boiler Room,Boiler Room,0,2000,\N,120,"Crime,Drama,Thriller",7.0,47142,3298,14181,https://www.imdb.com/title/tt0181984/,0181984,14181,4294,Ryzyko,Boiler Room,2000,0,7,USA,"Dramat, Kryminał, Thriller",2012-3-30,2012,3.5,"drama, crime, thriller",0,0.0,7
tt0187393,movie,The Patriot,The Patriot,0,2000,\N,165,"Action,Drama,History",7.2,242504,3753,2024,https://www.imdb.com/title/tt0187393/,0187393,2024,944,Patriota,The Patriot,2000,0,3,"Niemcy, USA",Dramat historyczny,2012-10-21,2012,1.5,dramat historyczny,0,-4.2,7
tt0206420,movie,Woman on Top,Woman on Top,0,2000,\N,92,"Comedy,Fantasy,Romance",5.3,9638,3909,14629,https://www.imdb.com/title/tt0206420/,0206420,14629,1433,Kobieta na topie,Woman on Top,2000,0,7,USA,"Fantasy, Komedia rom.",2011-11-5,2011,3.5,"fantasy, komedia rom.",0,1.7000000000000002,5
tt0206634,movie,Children of Men,Children of Men,0,2006,\N,109,"Drama,Thriller",7.9,438669,48774,9693,https://www.imdb.com/title/tt0206634/,0206634,9693,136704,Ludzkie dzieci,Children of Men,2006,0,7,"USA, Wielka Brytania","Dramat, Sci-Fi",2011-10-22,2011,3.5,"drama, sci-fi",0,-0.9000000000000004,8
tt0207201,movie,What Women Want,What Women Want,0,2000,\N,127,"Comedy,Fantasy,Romance",6.4,183747,4018,3981,https://www.imdb.com/title/tt0207201/,0207201,3981,1488,Czego pragną kobiety,What Women Want,2000,0,5,USA,Komedia rom.,2011-10-22,2011,2.5,komedia rom.,0,-1.4000000000000004,6
tt0212720,movie,A.I. Artificial Intelligence,Artificial Intelligence: AI,0,2001,\N,146,"Drama,Sci-Fi",7.2,279317,4370,644,https://www.imdb.com/title/tt0212720/,0212720,644,3673,A.I. Sztuczna inteligencja,Artificial Intelligence: AI,2001,0,8,USA,"Dramat, Sci-Fi",2013-9-26,2013,4.0,"drama, sci-fi",0,0.7999999999999998,7
tt0221218,movie,The Glass House,The Glass House,0,2001,\N,106,"Crime,Drama,Mystery",5.8,30432,4770,2176,https://www.imdb.com/title/tt0221218/,0221218,2176,31643,Dom Glassów,The Glass House,2001,0,6,USA,Thriller,2016-10-10,2016,3.0,thriller,0,0.20000000000000018,6
tt0237572,movie,The Pledge,The Pledge,0,2001,\N,124,"Crime,Drama,Mystery",6.8,51073,4056,5955,https://www.imdb.com/title/tt0237572/,0237572,5955,10746,Obietnica,The Pledge,2001,0,7,USA,"Dramat, Kryminał",2019-2-9,2019,3.5,"drama, crime",0,0.20000000000000018,7
tt0240468,movie,Kung Pow: Enter the Fist,Kung Pow: Enter the Fist,0,2002,\N,81,"Action,Comedy",6.2,42210,5047,11891,https://www.imdb.com/title/tt0240468/,0240468,11891,32583,Kung Pow: Wejście wybrańca,Kung Pow: Enter the Fist,2002,0,7,"Hongkong, USA","Komedia, Akcja",2013-5-25,2013,3.5,"comedy, action",0,0.7999999999999998,6
tt0241303,movie,Chocolat,Chocolat,0,2000,\N,121,"Drama,Romance",7.2,170940,4014,392,https://www.imdb.com/title/tt0241303/,0241303,392,4545,Czekolada,Chocolat,2000,0,8,"USA, Wielka Brytania","Dramat, Komedia, Romans",2011-10-20,2011,4.0,"drama, comedy, romance",0,0.7999999999999998,7
tt0242998,movie,Valentine,Valentine,0,2001,\N,96,"Horror,Mystery,Thriller",4.8,23852,4143,10984,https://www.imdb.com/title/tt0242998/,0242998,10984,30391,Walentynki,Valentine,2001,0,4,USA,Horror,2012-4-16,2012,2.0,horror,0,-0.7999999999999998,5
tt0243133,movie,The Man Who Wasn't There,The Man Who Wasn't There,0,2001,\N,116,"Crime,Drama",7.5,98951,4881,10778,https://www.imdb.com/title/tt0243133/,0243133,10778,31210,"Człowiek, którego nie było",The Man Who Wasn't There,2001,0,7,"USA, Wielka Brytania","Dramat, Kryminał",2018-11-24,2018,3.5,"drama, crime",0,-0.5,8
tt0247199,movie,The Believer,The Believer,0,2001,\N,98,Drama,7.2,35319,5379,4012,https://www.imdb.com/title/tt0247199/,0247199,4012,32049,Fanatyk,The Believer,2001,0,5,USA,Dramat,2012-4-20,2012,2.5,drama,0,-2.2,7
tt0247425,movie,In the Bedroom,In the Bedroom,0,2001,\N,130,"Crime,Drama",7.4,36263,4903,1999,https://www.imdb.com/title/tt0247425/,0247425,1999,6407,Za drzwiami sypialni,In the Bedroom,2001,0,6,USA,Dramat,2011-10-22,2011,3.0,drama,0,-1.4000000000000004,7
tt0250468,movie,Killing Me Softly,Killing Me Softly,0,2002,\N,100,"Drama,Mystery,Romance",5.5,16460,8588,14365,https://www.imdb.com/title/tt0250468/,0250468,14365,33188,Urok mordercy,Killing Me Softly,2002,0,6,"USA, Wielka Brytania","Erotyczny, Thriller",2016-11-6,2016,3.0,"erotyczny, thriller",0,0.5,6
tt0250797,movie,Unfaithful,Unfaithful,0,2002,\N,124,"Drama,Romance,Thriller",6.7,75306,5364,2251,https://www.imdb.com/title/tt0250797/,0250797,2251,32598,Niewierna,Unfaithful,2002,0,8,"Francja, Niemcy, USA",Dramat,2017-7-15,2017,4.0,drama,0,1.2999999999999998,7
tt0257044,movie,Road to Perdition,Road to Perdition,0,2002,\N,117,"Crime,Drama,Thriller",7.7,232627,5464,4147,https://www.imdb.com/title/tt0257044/,0257044,4147,30650,Droga do zatracenia,Road to Perdition,2002,0,5,USA,"Dramat, Gangsterski",2015-10-23,2015,2.5,"drama, gangsterski",0,-2.7,8
tt0257360,movie,About Schmidt,About Schmidt,0,2002,\N,125,"Comedy,Drama",7.1,118846,5945,2755,https://www.imdb.com/title/tt0257360/,0257360,2755,33969,Schmidt,About Schmidt,2002,0,7,USA,"Dramat, Komedia",2011-11-2,2011,3.5,"drama, comedy",0,-0.09999999999999964,7
tt0258463,movie,The Bourne Identity,The Bourne Identity,0,2002,\N,119,"Action,Mystery,Thriller",7.9,483857,5418,2501,https://www.imdb.com/title/tt0258463/,0258463,2501,31497,Tożsamość Bourne'a,The Bourne Identity,2002,0,9,"Czechy, Niemcy, USA",Sensacyjny,2011-10-20,2011,4.5,sensacyjny,0,1.0999999999999996,8
