ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,OcenaImdb,originalTitle,startYear,genre_eng
779051,Tajemnica Marrowbone,El secreto de Marrowbone,2017,0,3,"Hiszpania, USA","Dramat, Thriller",2018-2-17,1.5,El secreto de Marrowbone,2017,"drama, thriller"
796989,Escape Room,,2017,0,1,USA,Horror,2018-2-17,0.5,,2017,horror
776042,Winchester. Dom duchów,Winchester,2018,0,6,"Australia, USA",Horror,2018-2-17,3.0,Winchester,2018,horror
123413,Batman: Maska Batmana,Batman: Mask of the Phantasm,1993,0,6,USA,"Animacja, Familijny, Fantasy, Akcja",2018-2-10,3.0,Batman: Mask of the Phantasm,1993,"animacja, familijny, fantasy, action"
98249,Perfect Blue,,1997,0,6,Japonia,"Thriller, Anime",2018-2-9,3.0,,1997,"thriller, anime"
732758,Panie Dulskie,,2015,0,5,Polska,Komedia obycz.,2018-1-29,2.5,,2015,komedia obycz.
494920,Defendor,,2009,0,8,"Kanada, USA, Wielka Brytania",Dramat,2018-1-26,4.0,,2009,drama
540267,Super,,2010,0,7,USA,"Dramat, Komedia",2018-1-22,3.5,,2010,"drama, comedy"
209288,W stronę słońca,Sunshine,2007,0,8,"USA, Wielka Brytania",Sci-Fi,2018-1-20,4.0,Sunshine,2007,sci-fi
9009,Płytki grób,Shallow Grave,1994,0,7,Wielka Brytania,Czarna komedia,2018-1-20,3.5,Shallow Grave,1994,czarna komedia
728037,Tales of Halloween,,2015,0,6,USA,"Horror, Nowele filmowe",2018-1-12,3.0,,2015,"horror, nowele filmowe"
703065,Przychodzi facet do lekarza,Supercondriaque,2014,0,7,"Belgia, Francja",Komedia,2018-1-6,3.5,Supercondriaque,2014,comedy
371687,Bracia przyrodni,Step Brothers,2008,0,7,USA,Komedia,2018-1-1,3.5,Step Brothers,2008,comedy
671051,Gwiezdne wojny: Przebudzenie Mocy,Star Wars: Episode VII - The Force Awakens,2015,0,5,USA,"Przygodowy, Sci-Fi",2017-12-19,2.5,Star Wars: Episode VII - The Force Awakens,2015,"przygodowy, sci-fi"
1465,Gwiezdne wojny: Część II - Atak klonów,Star Wars: Episode II - Attack of the Clones,2002,0,6,USA,"Przygodowy, Sci-Fi",2017-12-19,3.0,Star Wars: Episode II - Attack of the Clones,2002,"przygodowy, sci-fi"
671049,Gwiezdne wojny: Ostatni Jedi,Star Wars: The Last Jedi,2017,0,5,USA,"Przygodowy, Sci-Fi",2017-12-19,2.5,Star Wars: The Last Jedi,2017,"przygodowy, sci-fi"
786678,The Square,,2017,1,10,"Dania, Francja, Niemcy, Szwecja",Komedia,2017-12-10,5.0,,2017,comedy
723658,Co ty wiesz o swoim dziadku?,Dirty Grandpa,2016,0,1,USA,Komedia,2017-12-10,0.5,Dirty Grandpa,2016,comedy
419862,Droga do szczęścia,Revolutionary Road,2008,0,8,"USA, Wielka Brytania",Melodramat,2017-12-6,4.0,Revolutionary Road,2008,melodramat
107712,Czarownica,Bewitched,2005,0,3,USA,"Fantasy, Komedia rom.",2017-11-26,1.5,Bewitched,2005,"fantasy, komedia rom."
769844,Na pokuszenie,The Beguiled,2017,0,7,USA,Dramat,2017-11-9,3.5,The Beguiled,2017,drama
517573,Riddick,,2013,0,3,"USA, Wielka Brytania","Akcja, Sci-Fi",2017-11-6,1.5,,2013,"action, sci-fi"
924,Pitch Black,,2000,0,5,USA,"Akcja, Sci-Fi",2017-11-6,2.5,,2000,"action, sci-fi"
465839,Śmierć nadejdzie dziś,Happy Death Day,2017,0,7,USA,Horror,2017-11-6,3.5,Happy Death Day,2017,horror
760272,mother!,Mother!,2017,1,10,USA,Horror,2017-11-4,5.0,Mother!,2017,horror
707970,Thor: Ragnarok,,2017,0,7,USA,"Fantasy, Przygodowy",2017-11-2,3.5,,2017,"fantasy, przygodowy"
738870,Szpiedzy z sąsiedztwa,Keeping Up with the Joneses,2016,0,7,USA,Komedia,2017-10-28,3.5,Keeping Up with the Joneses,2016,comedy
710264,Geostorm,,2017,0,3,USA,"Sci-Fi, Katastroficzny",2017-10-26,1.5,,2017,"sci-fi, disaster"
772939,Aplik@cja,Bedeviled,2016,0,4,USA,Horror,2017-10-14,2.0,Bedeviled,2016,horror
7851,Mortal Kombat,,1995,0,8,USA,"Fantasy, Akcja",2017-10-13,4.0,,1995,"fantasy, action"
630798,Blade Runner 2049,,2017,1,10,"Kanada, USA, Węgry, Wielka Brytania","Thriller, Sci-Fi",2017-10-13,5.0,,2017,"thriller, sci-fi"
720384,Mężczyźni i kurczaki,Mænd og høns,2015,0,7,"Dania, Niemcy","Dramat, Komedia",2017-10-10,3.5,Mænd og høns,2015,"drama, comedy"
698207,Twój Vincent,Loving Vincent,2017,0,10,"Polska, Wielka Brytania","Animacja, Dramat, Kryminał",2017-10-6,5.0,Loving Vincent,2017,"animacja, drama, crime"
713866,Dziewczyny śmierci,The Final Girls,2015,0,7,USA,"Horror, Komedia",2017-9-28,3.5,The Final Girls,2015,"horror, comedy"
32482,Zabity na śmierć,Murder by Death,1976,0,6,USA,"Thriller, Komedia kryminalna",2017-9-28,3.0,Murder by Death,1976,"thriller, komedia kryminalna"
571114,To,It,2017,0,8,"Kanada, USA",Horror,2017-9-21,4.0,It,2017,horror
633858,Michael Kohlhaas,,2013,0,8,"Francja, Niemcy",Dramat historyczny,2017-9-19,4.0,,2013,dramat historyczny
1422,Tytus Andronikus,Titus,1999,0,8,"USA, Wielka Brytania, Włochy",Dramat,2017-9-17,4.0,Titus,1999,drama
571188,Kolonia,The Colony,2013,0,6,Kanada,"Thriller, Sci-Fi",2017-9-9,3.0,The Colony,2013,"thriller, sci-fi"
4475,Oko kota,Cat's Eye,1985,0,7,USA,"Horror, Komedia, Nowele filmowe",2017-9-9,3.5,Cat's Eye,1985,"horror, comedy, nowele filmowe"
544699,Taśmy Watykanu,The Vatican Tapes,2015,0,3,USA,Horror,2017-8-18,1.5,The Vatican Tapes,2015,horror
700190,Wojna o planetę małp,War for the Planet of the Apes,2017,0,7,"Kanada, Nowa Zelandia, USA","Dramat, Akcja, Sci-Fi",2017-8-10,3.5,War for the Planet of the Apes,2017,"drama, action, sci-fi"
706209,Kapitan Ameryka: Wojna bohaterów,Captain America: Civil War,2016,0,3,USA,"Akcja, Sci-Fi",2017-8-6,1.5,Captain America: Civil War,2016,"action, sci-fi"
779305,To przychodzi po zmroku,It Comes at Night,2017,0,7,USA,Horror,2017-7-27,3.5,It Comes at Night,2017,horror
791,Buena Vista Social Club,,1999,0,3,"Francja, Kuba, Niemcy, USA, Wielka Brytania","Dokumentalny, Muzyczny",2017-7-13,1.5,,1999,"documentary, muzyczny"
397071,"Najpierw strzelaj, potem zwiedzaj",In Bruges,2008,0,8,"USA, Wielka Brytania","Dramat, Komedia, Kryminał",2017-6-22,4.0,In Bruges,2008,"drama, comedy, crime"
568216,Król Artur: Legenda miecza,King Arthur: Legend of the Sword,2017,0,7,USA,"Dramat, Przygodowy",2017-6-22,3.5,King Arthur: Legend of the Sword,2017,"drama, przygodowy"
