tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,OcenaImdb,genre_eng,similarity,diff,averageRating_int
tt1093908,movie,Confessions of a Shopaholic,Confessions of a Shopaholic,0,2009,\N,104,"Comedy,Romance",5.9,71934,460220,Wyznania zakupoholiczki,Confessions of a Shopaholic,2009,0,3,USA,Komedia rom.,2019-10-4,1.5,komedia rom.,0,-2.9000000000000004,6
tt1125849,movie,The Wrestler,The Wrestler,0,2008,\N,109,"Drama,Sport",7.9,280759,461946,Zapaśnik,The Wrestler,2008,0,7,"Francja, USA","Dramat obyczajowy, Sportowy",2011-10-22,3.5,"dramat obyczajowy, sportowy",0,-0.9000000000000004,8
tt1119191,movie,The Killing Room,The Killing Room,0,2009,\N,93,"Mystery,Thriller",5.7,13195,463050,Pokój śmierci,The Killing Room,2009,0,3,USA,"Dramat, Thriller",2013-4-6,1.5,"drama, thriller",0,-2.7,6
tt1017460,movie,Splice,Splice,0,2009,\N,104,"Drama,Horror,Sci-Fi",5.7,89400,463455,Istota,Splice,2009,0,6,"Francja, Kanada, USA","Thriller, Sci-Fi",2014-11-2,3.0,"thriller, sci-fi",0,0.2999999999999998,6
tt1138489,movie,Personal Effects,Personal Effects,0,2009,\N,106,Drama,6.2,7990,463894,W obliczu przeznaczenia,Personal Effects,2009,0,4,"Kanada, Niemcy, USA",Dramat obyczajowy,2012-4-24,2.0,dramat obyczajowy,0,-2.2,6
tt1139328,movie,The Ghost Writer,The Ghost Writer,0,2010,\N,128,"Drama,Mystery,Thriller",7.2,150687,463952,Autor widmo,The Ghost Writer,2010,0,5,"Francja, Niemcy, Wielka Brytania","Dramat, Thriller",2014-10-9,2.5,"drama, thriller",0,-2.2,7
tt1117385,movie,Felon,Felon,0,2008,\N,104,"Crime,Drama",7.4,72951,464212,Skazaniec,Felon,2008,0,8,USA,"Dramat, Kryminał",2011-9-5,4.0,"drama, crime",0,0.5999999999999996,7
tt1133991,movie,What Doesn't Kill You,What Doesn't Kill You,0,2008,\N,100,"Crime,Drama",6.6,11329,465416,Co cię nie zabije,What Doesn't Kill You,2008,0,7,USA,"Dramat, Kryminał",2014-7-1,3.5,"drama, crime",0,0.40000000000000036,7
tt5308322,movie,Happy Death Day,Happy Death Day,0,2017,\N,96,"Horror,Mystery,Thriller",6.5,99497,465839,Śmierć nadejdzie dziś,Happy Death Day,2017,0,4,USA,Horror,2019-3-3,2.0,horror,0,-2.5,6
tt1127221,movie,Not Forgotten,Not Forgotten,0,2009,\N,96,"Horror,Thriller",4.8,2462,465969,Czas odkupienia,Not Forgotten,2009,0,5,USA,"Thriller, Akcja",2013-5-13,2.5,"thriller, action",0,0.20000000000000018,5
tt1058017,movie,The Invention of Lying,The Invention of Lying,0,2009,\N,100,"Comedy,Fantasy,Romance",6.4,109691,466716,Było sobie kłamstwo,The Invention of Lying,2009,0,4,USA,Komedia,2012-1-4,2.0,comedy,0,-2.4000000000000004,6
tt1131729,movie,Pirate Radio,The Boat That Rocked,0,2009,\N,135,"Comedy,Drama,Music",7.4,104074,467136,Radio na fali,The Boat That Rocked,2009,0,8,"Francja, Niemcy, Wielka Brytania","Dramat, Komedia, Muzyczny",2011-10-22,4.0,"drama, comedy, muzyczny",0,0.5999999999999996,7
tt1010048,movie,Slumdog Millionaire,Slumdog Millionaire,0,2008,\N,120,"Drama,Romance",8.0,762040,468296,Slumdog. Milioner z ulicy,Slumdog Millionaire,2008,0,5,Wielka Brytania,Dramat,2011-8-4,2.5,drama,0,-3.0,8
tt1170358,movie,The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug,0,2013,\N,161,"Adventure,Fantasy",7.8,575915,469867,Hobbit: Pustkowie Smauga,The Hobbit: The Desolation of Smaug,2013,0,6,"Nowa Zelandia, USA","Fantasy, Przygodowy",2014-1-2,3.0,"fantasy, przygodowy",0,-1.7999999999999998,8
tt1175709,movie,All Good Things,All Good Things,0,2010,\N,101,"Crime,Drama,Mystery",6.3,50587,470641,"Wszystko, co dobre",All Good Things,2010,0,7,USA,"Melodramat, Thriller",2011-10-12,3.5,"melodramat, thriller",0,0.7000000000000002,6
tt1126590,movie,Big Eyes,Big Eyes,0,2014,\N,106,"Biography,Crime,Drama",7.0,80096,472866,Wielkie oczy,Big Eyes,2014,0,5,USA,"Biograficzny, Dramat",2015-2-3,2.5,"biographic, drama",0,-2.0,7
tt1174732,movie,An Education,An Education,0,2009,\N,100,Drama,7.3,124543,473563,Była sobie dziewczyna,An Education,2009,0,7,"USA, Wielka Brytania",Dramat,2011-11-2,3.5,drama,0,-0.2999999999999998,7
tt1193138,movie,Up in the Air,Up in the Air,0,2009,\N,109,"Comedy,Drama,Romance",7.4,305598,475937,W chmurach,Up in the Air,2009,0,7,USA,"Dramat, Komedia",2011-10-20,3.5,"drama, comedy",0,-0.40000000000000036,7
tt1183665,movie,Cracks,Cracks,0,2009,\N,104,"Drama,Thriller",6.7,18359,475975,Pęknięcia,Cracks,2009,0,4,"Francja, Hiszpania, Irlandia, Szwajcaria, Wielka Brytania","Dramat, Thriller",2013-3-2,2.0,"drama, thriller",0,-2.7,7
tt1201607,movie,Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 2,0,2011,\N,130,"Adventure,Drama,Fantasy",8.1,711773,476021,Harry Potter i Insygnia Śmierci: Część II,Harry Potter and the Deathly Hallows: Part 2,2011,0,4,"USA, Wielka Brytania","Familijny, Fantasy, Przygodowy",2011-8-8,2.0,"familijny, fantasy, przygodowy",0,-4.1,8
tt1078188,movie,Boy A,Boy A,0,2007,\N,102,Drama,7.6,36029,477273,Chłopiec A,Boy A,2007,0,6,Wielka Brytania,Dramat obyczajowy,2017-1-11,3.0,dramat obyczajowy,0,-1.5999999999999996,8
tt1212454,movie,An Invisible Sign,An Invisible Sign,0,2010,\N,96,"Comedy,Drama,Family",5.4,3861,479595,Niewidzialny znak,An Invisible Sign,2010,0,4,USA,"Dramat, Komedia, Romans",2011-12-26,2.0,"drama, comedy, romance",0,-1.4000000000000004,5
tt1178663,movie,Whatever Works,Whatever Works,0,2009,\N,93,"Comedy,Romance",7.1,68103,480036,"Co nas kręci, co nas podnieca",Whatever Works,2009,0,8,"Francja, USA",Komedia obycz.,2011-10-19,4.0,komedia obycz.,0,0.9000000000000004,7
tt1235838,movie,How I Got Lost,How I Got Lost,0,2009,\N,87,Drama,5.5,241,481673,Zagubiony,How I Got Lost,2009,0,5,USA,Dramat,2013-1-29,2.5,drama,0,-0.5,6
tt1194173,movie,The Bourne Legacy,The Bourne Legacy,0,2012,\N,135,"Action,Adventure,Thriller",6.7,273100,482581,Dziedzictwo Bourne'a,The Bourne Legacy,2012,0,7,USA,Sensacyjny,2017-6-6,3.5,sensacyjny,0,0.2999999999999998,7
tt1204977,movie,Ouija,Ouija,0,2014,\N,89,"Horror,Mystery,Thriller",4.5,45316,482800,Diabelska plansza Ouija,Ouija,2014,0,4,USA,Horror,2015-3-22,2.0,horror,0,-0.5,4
tt1227555,movie,Corridor,Isolerad,0,2010,\N,75,"Mystery,Thriller",6.0,467,483190,Klatka,Isolerad,2010,0,4,Szwecja,Thriller,2012-12-11,2.0,thriller,0,-2.0,6
