tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,Rok,OcenaImdb,KrajKod,genre_eng,similarity,diff,averageRating_int
tt0095497,movie,The Last Temptation of Christ,The Last Temptation of Christ,0,1988,\N,164,Drama,7.6,48060,1060,Ostatnie kuszenie Chrystusa,The Last Temptation of Christ,1988,1,10,"Kanada, USA","Dramat, Religijny",2010-6-5,2010,5.0,"['CAN', 'USA']","drama, religijny",0,2.4000000000000004,8
tt0103772,movie,Basic Instinct,Basic Instinct,0,1992,\N,127,"Drama,Mystery,Thriller",7.0,160846,1063,Nagi instynkt,Basic Instinct,1992,0,6,"Francja, USA",Thriller,2014-10-4,2014,3.0,"['FRA', 'USA']",thriller,0,-1.0,7
tt0372784,movie,Batman Begins,Batman Begins,0,2005,\N,140,"Action,Adventure",8.2,1230585,106376,Batman - Początek,Batman Begins,2005,0,7,"USA, Wielka Brytania","Akcja, Sci-Fi",2010-6-1,2010,3.5,"['USA', 'GBR']","action, sci-fi",0,-1.1999999999999993,8
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,0,2001,\N,178,"Adventure,Drama,Fantasy",8.8,1556199,1065,Władca Pierścieni: Drużyna Pierścienia,The Lord of the Rings: The Fellowship of the Ring,2001,0,6,"Nowa Zelandia, USA","Fantasy, Przygodowy",2011-1-4,2011,3.0,"['NZL', 'USA']","fantasy, przygodowy",0,-2.8000000000000007,9
tt0142688,movie,The Ninth Gate,The Ninth Gate,0,1999,\N,133,"Mystery,Thriller",6.7,156572,10682,Dziewiąte wrota,The Ninth Gate,1999,0,6,"Francja, Hiszpania, USA","Dramat, Horror, Kryminał",2010-6-1,2010,3.0,"['FRA', 'ESP', 'USA']","drama, horror, crime",0,-0.7000000000000002,7
tt0230600,movie,The Others,The Others,0,2001,\N,101,"Horror,Mystery,Thriller",7.6,320577,10701,Inni,The Others,2001,0,8,"Francja, Hiszpania, USA, Włochy",Thriller,2010-6-1,2010,4.0,"['FRA', 'ESP', 'USA', 'ITA']",thriller,0,0.40000000000000036,8
tt0383574,movie,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,0,2006,\N,151,"Action,Adventure,Fantasy",7.3,625445,107404,Piraci z Karaibów: Skrzynia umarlaka,Pirates of the Caribbean: Dead Man's Chest,2006,0,5,USA,"Fantasy, Przygodowy",2010-6-1,2010,2.5,['USA'],"fantasy, przygodowy",0,-2.3,7
tt0351283,movie,Madagascar,Madagascar,0,2005,\N,86,"Adventure,Animation,Comedy",6.9,343230,107535,Madagaskar,Madagascar,2005,0,8,USA,"Animacja, Familijny",2011-1-4,2011,4.0,['USA'],"animacja, familijny",0,1.0999999999999996,7
tt0343135,movie,Along Came Polly,Along Came Polly,0,2004,\N,90,"Comedy,Romance",6.0,120547,107554,Nadchodzi Polly,Along Came Polly,2004,0,6,USA,Komedia rom.,2018-12-1,2018,3.0,['USA'],komedia rom.,0,0.0,6
tt0370263,movie,Alien vs. Predator,AVP: Alien vs. Predator,0,2004,\N,101,"Action,Adventure,Horror",5.6,177241,107555,Obcy kontra Predator,AVP: Alien vs. Predator,2004,0,5,"Czechy, Kanada, Niemcy, USA, Wielka Brytania","Akcja, Sci-Fi",2010-6-2,2010,2.5,"['CZE', 'CAN', 'DEU', 'USA', 'GBR']","action, sci-fi",0,-0.5999999999999996,6
tt0102800,movie,Robot Jox,Robot Jox,0,1989,\N,85,"Action,Sci-Fi,Thriller",5.4,5373,107563,Robot Jox 1: Bezlitośni mordercy,Robot Jox,1989,0,7,USA,"Akcja, Sci-Fi",2015-5-18,2015,3.5,['USA'],"action, sci-fi",0,1.5999999999999996,5
tt0374536,movie,Bewitched,Bewitched,0,2005,\N,102,"Comedy,Fantasy,Romance",4.8,66402,107712,Czarownica,Bewitched,2005,0,3,USA,"Fantasy, Komedia rom.",2017-11-26,2017,1.5,['USA'],"fantasy, komedia rom.",0,-1.7999999999999998,5
tt0320661,movie,Kingdom of Heaven,Kingdom of Heaven,0,2005,\N,144,"Action,Adventure,Drama",7.2,255110,108083,Królestwo niebieskie,Kingdom of Heaven,2005,0,3,"Hiszpania, Niemcy, USA, Wielka Brytania, Maroko",Dramat historyczny,2010-6-2,2010,1.5,"['ESP', 'DEU', 'USA', 'GBR', 'MAR']",dramat historyczny,0,-4.2,7
tt0100935,movie,Wild at Heart,Wild at Heart,0,1990,\N,125,"Comedy,Crime,Drama",7.2,76875,1084,Dzikość serca,Wild at Heart,1990,0,8,USA,"Kryminał, Romans",2012-7-10,2012,4.0,['USA'],"crime, romance",0,0.7999999999999998,7
tt0080678,movie,The Elephant Man,The Elephant Man,0,1980,\N,124,"Biography,Drama",8.1,205541,1087,Człowiek słoń,The Elephant Man,1980,0,9,USA,"Biograficzny, Dramat",2010-6-1,2010,4.5,['USA'],"biographic, drama",0,0.9000000000000004,8
tt0078788,movie,Apocalypse Now,Apocalypse Now,0,1979,\N,147,"Drama,Mystery,War",8.4,566267,1092,Czas Apokalipsy,Apocalypse Now,1979,1,9,USA,"Dramat, Wojenny",2010-6-1,2010,4.5,['USA'],"drama, war",0,0.5999999999999996,8
tt0071853,movie,Monty Python and the Holy Grail,Monty Python and the Holy Grail,0,1975,\N,91,"Adventure,Comedy,Fantasy",8.2,474111,1096,Monty Python i Święty Graal,Monty Python and the Holy Grail,1975,1,10,Wielka Brytania,"Komedia, Kostiumowy, Przygodowy",2010-6-1,2010,5.0,['GBR'],"comedy, costume, przygodowy",0,1.8000000000000007,8
