,ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Komentarz,Kraj produkcji,Gatunek,Data
548,667242,Zanim zasnę,Before I Go to Sleep,2014,,6,,"Francja, Szwecja, USA, Wielka Brytania","Dramat, Thriller",2014-12-7
549,651383,Wróg,Enemy,2013,,8,,"Hiszpania, Kanada",Thriller,2014-12-6
550,656595,Przeznaczenie,Predestination,2014,,7,,Australia,"Thriller, Sci-Fi",2014-12-1
551,687846,Gdybym tylko tu był,Wish I Was Here,2014,,6,,USA,"Dramat, Komedia",2014-12-1
552,662081,Mów mi Vincent,St. Vincent,2014,,6,,USA,Komedia,2014-12-1
553,559315,Wątpliwości,To the Wonder,2012,,4,,USA,Melodramat,2014-11-29
554,608456,"Jako w piekle, tak i na Ziemi","As Above, So Below",2014,,6,,USA,Horror,2014-11-29
555,609757,Więzień labiryntu,The Maze Runner,2014,,6,,"Kanada, USA, Wielka Brytania","Thriller, Akcja, Sci-Fi",2014-11-28
556,293878,Oszukana,Changeling,2008,,8,,USA,Dramat obyczajowy,2014-11-22
557,655615,Krocząc wśród cieni,A Walk Among the Tombstones,2014,,5,,USA,"Dramat, Kryminał",2014-11-11
558,660248,Śnieżny ptak,White Bird in a Blizzard,2014,,7,,"Francja, USA","Dramat, Thriller",2014-11-11
559,30701,Dwunastu gniewnych ludzi,12 Angry Men,1957,,8,,USA,Dramat sądowy,2014-11-11
560,375629,Interstellar,,2014,,7,,"USA, Wielka Brytania",Sci-Fi,2014-11-11
561,684901,Udając gliniarzy,Let's Be Cops,2014,,3,,USA,"Komedia, Akcja",2014-11-10
562,683180,Furia,Fury,2014,,6,,"Chiny, USA, Wielka Brytania","Dramat, Wojenny",2014-11-10
563,684356,Dracula: Historia nieznana,Dracula Untold,2014,,5,,"Japonia, USA","Fantasy, Horror",2014-11-10
564,650619,Tylko kochankowie przeżyją,Only Lovers Left Alive,2013,,8,,"Francja, Grecja, Niemcy, USA, Wielka Brytania, Cypr","Horror, Romans",2014-11-5
565,546202,Rogi,Horns,2013,,6,,"Kanada, USA",Horror,2014-11-5
566,628545,Rozgrywka,The Two Faces of January,2014,,4,,"Francja, USA, Wielka Brytania",Thriller,2014-11-4
567,563042,Hercules,,2014,,3,,USA,Przygodowy,2014-11-4
568,627028,Filozofowie,The Philosophers,2013,,5,,"USA, Indonezja","Dramat, Thriller, Sci-Fi",2014-11-2
569,463455,Istota,Splice,2009,,6,,"Francja, Kanada, USA","Thriller, Sci-Fi",2014-11-2
570,693667,Drive Hard,,2014,,4,,"Australia, Kanada, USA","Komedia, Akcja",2014-10-30
571,420755,Maczeta,Machete,2010,,7,,USA,Akcja,2014-10-25
572,655358,November Man,The November Man,2014,,5,,USA,Thriller,2014-10-22
573,676364,Babadook,The Babadook,2014,,6,,"Australia, Kanada",Horror,2014-10-19
574,694378,Bogowie,,2014,,8,,Polska,"Biograficzny, Dramat",2014-10-19
575,1417,Tańcząc w ciemnościach,Dancer in the Dark,2000,,9,,"Argentyna, Dania, Finlandia, Francja, Hiszpania, Holandia, Islandia, Niemcy, Norwegia, Szwecja, USA, Wielka Brytania, Włochy","Dramat, Musical",2014-10-13
576,695409,Zaginiona dziewczyna,Gone Girl,2014,,7,,USA,"Dramat, Thriller",2014-10-13
577,671888,Mapy gwiazd,Maps to the Stars,2014,,7,,"Francja, Kanada, Niemcy, USA",Dramat,2014-10-11
578,664974,Frank,,2014,,7,,"Irlandia, Wielka Brytania","Dramat, Komedia",2014-10-11
579,463952,Autor widmo,The Ghost Writer,2010,,5,,"Francja, Niemcy, Wielka Brytania","Dramat, Thriller",2014-10-9
580,214272,Sin City: Damulka warta grzechu,Sin City: A Dame to Kill For,2014,,5,,USA,"Kryminał, Thriller",2014-10-6
