ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,OcenaImdb,originalTitle,startYear,genre_eng
808437,Przemytnik,The Mule,2018,0,4,USA,"Dramat, Kryminał",2019-4-3,2.0,The Mule,2018,"drama, crime"
800436,Przynęta,Serenity,2018,0,2,USA,Thriller,2019-4-2,1.0,Serenity,2018,thriller
724409,Sejf,The Vault,2017,0,3,USA,Horror,2019-3-31,1.5,The Vault,2017,horror
824632,The Highwaymen,,2019,0,6,USA,Kryminał,2019-3-31,3.0,,2019,crime
803018,Odwet,Reprisal,2018,0,3,"USA, Wielka Brytania",Akcja,2019-3-28,1.5,Reprisal,2018,action
787094,Rockaway,,2017,0,5,USA,Dramat,2019-3-25,2.5,,2017,drama
760045,Kot Bob i ja,A Street Cat Named Bob,2016,0,6,Wielka Brytania,"Biograficzny, Dramat, Komedia",2019-3-25,3.0,A Street Cat Named Bob,2016,"biographic, drama, comedy"
4236,Próba sił,Bless the Child,2000,0,6,"Niemcy, USA","Horror, Religijny",2019-3-25,3.0,Bless the Child,2000,"horror, religijny"
756160,Faworyta,The Favourite,2018,0,5,"Irlandia, USA, Wielka Brytania","Biograficzny, Historyczny",2019-3-24,2.5,The Favourite,2018,"biographic, historical"
811263,Oskarżona,Acusada,2018,0,7,"Argentyna, Meksyk","Kryminał, Thriller",2019-3-24,3.5,Acusada,2018,"crime, thriller"
714149,Han Solo: Gwiezdne wojny - historie,Solo: A Star Wars Story,2018,0,4,USA,"Przygodowy, Sci-Fi",2019-3-22,2.0,Solo: A Star Wars Story,2018,"przygodowy, sci-fi"
737374,Arizona,,2018,0,7,USA,Komedia,2019-3-20,3.5,,2018,comedy
678278,Po wypadku,After,2012,0,5,USA,Horror,2019-3-19,2.5,After,2012,horror
781969,Tragedy Girls,,2017,0,5,USA,"Horror, Komedia",2019-3-19,2.5,,2017,"horror, comedy"
601499,Wstyd,Shame,2011,0,5,Wielka Brytania,Dramat,2019-3-16,2.5,Shame,2011,drama
433913,2012,,2009,0,5,"Kanada, USA","Sci-Fi, Katastroficzny",2019-3-16,2.5,,2009,"sci-fi, disaster"
804174,Niebieski ptak w moim sercu,A Bluebird in My Heart,2018,0,7,Francja,Dramat,2019-3-15,3.5,A Bluebird in My Heart,2018,drama
806243,Rysa na ścianie,Las grietas de Jara,2017,0,3,"Argentyna, Hiszpania",Thriller,2019-3-14,1.5,Las grietas de Jara,2017,thriller
253995,21,,2008,0,5,USA,Kryminał,2019-3-14,2.5,,2008,crime
744026,Zachowaj spokój,Please Stand By,2017,0,6,USA,"Dramat, Komedia",2019-3-13,3.0,Please Stand By,2017,"drama, comedy"
118195,Trudne słówka,Spanglish,2004,0,6,USA,"Dramat, Komedia, Romans",2019-3-13,3.0,Spanglish,2004,"drama, comedy, romance"
757712,Powiązania,Entanglement,2017,0,6,Kanada,"Dramat, Komedia, Romans",2019-3-13,3.0,Entanglement,2017,"drama, comedy, romance"
797361,Zwierzęta Ameryki,American Animals,2018,0,7,USA,"Dramat, Kryminał",2019-3-13,3.5,American Animals,2018,"drama, crime"
726490,Kapitan Marvel,Captain Marvel,2019,0,5,"Australia, USA","Akcja, Sci-Fi",2019-3-10,2.5,Captain Marvel,2019,"action, sci-fi"
5846,Gliniarz,Cop,1988,0,5,USA,"Dramat, Kryminał, Thriller",2019-3-9,2.5,Cop,1988,"drama, crime, thriller"
771870,Zniknięcie Sidneya Halla,Sidney Hall,2017,0,6,USA,Dramat,2019-3-9,3.0,Sidney Hall,2017,drama
258442,Red Road,,2006,0,5,"Dania, Wielka Brytania",Dramat,2019-3-8,2.5,,2006,drama
806360,SuperFly,,2018,0,4,USA,"Kryminał, Thriller, Akcja",2019-3-5,2.0,,2018,"crime, thriller, action"
465839,Śmierć nadejdzie dziś,Happy Death Day,2017,0,4,USA,Horror,2019-3-3,2.0,Happy Death Day,2017,horror
