ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Komentarz,Kraj produkcji,Gatunek,Data
789869,Spider-Man: Daleko od domu,Spider-Man: Far From Home,2019,,6,,USA,"Akcja, Sci-Fi",2019-7-14
712663,Advantageous,,2015,,4,,USA,"Dramat, Sci-Fi",2019-6-23
816982,To my,Us,2019,,6,,"Chiny, Japonia, USA",Thriller,2019-6-22
740813,Outsiderka,The Bad Batch,2016,,5,,USA,Dramat,2019-6-22
829669,Jestem matką,I Am Mother,2019,,4,,Australia,"Thriller, Sci-Fi",2019-6-20
794622,Przykładny obywatel,Cold Pursuit,2019,,3,,Wielka Brytania,"Dramat, Akcja",2019-6-20
792243,Mój piękny syn,Beautiful Boy,2018,,6,,USA,Dramat,2019-5-25
118261,Mean Creek,,2004,,5,,USA,"Dramat, Kryminał",2019-5-24
792556,John Wick 3,John Wick: Chapter 3 - Parabellum,2019,,7,,USA,"Thriller, Akcja",2019-5-20
785673,Kochanek idealny,Zoe,2018,,4,,USA,Romans,2019-5-13
790542,Avengers: Koniec gry,Avengers: Endgame,2019,,5,,USA,"Akcja, Sci-Fi",2019-5-7
766067,Dobry sąsiad,The Good Neighbor,2016,,6,,USA,Thriller,2019-5-4
790925,Oblicze mroku,Look Away,2018,,6,,USA,Thriller,2019-5-4
817829,Mroczne miejsce,Steel Country,2018,,6,,Wielka Brytania,Thriller,2019-4-30
805279,Fatamorgana,Durante la tormenta,2018,,3,,Hiszpania,"Thriller, Sci-Fi",2019-4-17
827674,Cisza,The Silence,2019,,4,,"Niemcy, USA",Horror,2019-4-15
799883,Wakacje,Holiday,2018,,3,,"Dania, Holandia, Szwecja","Dramat, Kryminał",2019-4-15
809563,Hawaje,Hawaii,2017,,5,,Rumunia,Dramat,2019-4-7
723206,Elle,,2016,,4,,"Belgia, Francja, Niemcy",Thriller,2019-4-6
740144,Iniemamocni 2,Incredibles 2,2018,,7,,USA,"Animacja, Przygodowy",2019-4-5
780590,Siedem dni,Entebbe,2018,,4,,"USA, Wielka Brytania","Dramat, Kryminał, Thriller",2019-4-5
560560,Potrójna granica,Triple Frontier,2019,,2,,USA,Kryminał,2019-4-5
808437,Przemytnik,The Mule,2018,,4,,USA,"Dramat, Kryminał",2019-4-3
800436,Przynęta,Serenity,2018,,2,,USA,Thriller,2019-4-2
724409,Sejf,The Vault,2017,,3,,USA,Horror,2019-3-31
824632,The Highwaymen,,2019,,6,,USA,Kryminał,2019-3-31
803018,Odwet,Reprisal,2018,,3,,"USA, Wielka Brytania",Akcja,2019-3-28
787094,Rockaway,,2017,,5,,USA,Dramat,2019-3-25
760045,Kot Bob i ja,A Street Cat Named Bob,2016,,6,,Wielka Brytania,"Biograficzny, Dramat, Komedia",2019-3-25
4236,Próba sił,Bless the Child,2000,,6,,"Niemcy, USA","Horror, Religijny",2019-3-25
756160,Faworyta,The Favourite,2018,,5,,"Irlandia, USA, Wielka Brytania","Biograficzny, Historyczny",2019-3-24
811263,Oskarżona,Acusada,2018,,7,,"Argentyna, Meksyk","Kryminał, Thriller",2019-3-24
714149,Han Solo: Gwiezdne wojny - historie,Solo: A Star Wars Story,2018,,4,,USA,"Przygodowy, Sci-Fi",2019-3-22
737374,Arizona,,2018,,7,,USA,Komedia,2019-3-20
678278,Po wypadku,After,2012,,5,,USA,Horror,2019-3-19
781969,Tragedy Girls,,2017,,5,,USA,"Horror, Komedia",2019-3-19
601499,Wstyd,Shame,2011,,5,,Wielka Brytania,Dramat,2019-3-16
433913,2012,,2009,,5,,"Kanada, USA","Sci-Fi, Katastroficzny",2019-3-16
804174,Niebieski ptak w moim sercu,A Bluebird in My Heart,2018,,7,,Francja,Dramat,2019-3-15
806243,Rysa na ścianie,Las grietas de Jara,2017,,3,,"Argentyna, Hiszpania",Thriller,2019-3-14
253995,21,,2008,,5,,USA,Kryminał,2019-3-14
744026,Zachowaj spokój,Please Stand By,2017,,6,,USA,"Dramat, Komedia",2019-3-13
118195,Trudne słówka,Spanglish,2004,,6,,USA,"Dramat, Komedia, Romans",2019-3-13
757712,Powiązania,Entanglement,2017,,6,,Kanada,"Dramat, Komedia, Romans",2019-3-13
797361,Zwierzęta Ameryki,American Animals,2018,,7,,USA,"Dramat, Kryminał",2019-3-13
726490,Kapitan Marvel,Captain Marvel,2019,,5,,"Australia, USA","Akcja, Sci-Fi",2019-3-10
5846,Gliniarz,Cop,1988,,5,,USA,"Dramat, Kryminał, Thriller",2019-3-9
771870,Zniknięcie Sidneya Halla,Sidney Hall,2017,,6,,USA,Dramat,2019-3-9
11843,Wściekłe psy,Reservoir Dogs,1992,,brak oceny,,USA,"Thriller, Gangsterski",2019-3-9
258442,Red Road,,2006,,5,,"Dania, Wielka Brytania",Dramat,2019-3-8
806360,SuperFly,,2018,,4,,USA,"Kryminał, Thriller, Akcja",2019-3-5
465839,Śmierć nadejdzie dziś,Happy Death Day,2017,,4,,USA,Horror,2019-3-3
775006,Tajemnice Silver Lake,Under the Silver Lake,2018,,4,,USA,Kryminał,2019-3-2
752098,Wciąż cię widzę,I Still See You,2018,,5,,USA,Thriller,2019-2-12
809630,Green Book,,2018,,7,,USA,"Dramat, Komedia",2019-2-11
775228,Nigdy cię tu nie było,You Were Never Really Here,2017,,5,,"Francja, USA, Wielka Brytania","Dramat, Thriller",2019-2-10
807561,Czarne bractwo. BlacKkKlansman,BlacKkKlansman,2018,,5,,USA,"Biograficzny, Dramat, Kryminał",2019-2-10
782196,Pierwszy człowiek,First Man,2018,,5,,"Japonia, USA","Biograficzny, Dramat",2019-2-10
10746,Obietnica,The Pledge,2001,,7,,USA,"Dramat, Kryminał",2019-2-9
820784,Wysokie loty,High Flying Bird,2019,,5,,USA,"Dramat, Sportowy",2019-2-9
808691,Velvet Buzzsaw,,2019,,4,,USA,Horror,2019-2-7
549085,Aquaman,,2018,,5,,"Australia, USA","Akcja, Sci-Fi",2019-2-4
31419,Helikopter w ogniu,Black Hawk Down,2001,,7,,"USA, Wielka Brytania","Dramat, Wojenny",2019-2-3
759367,Moonlight,,2016,,7,,USA,Dramat,2019-2-2
1458,2001: Odyseja kosmiczna,2001: A Space Odyssey,1968,,9,,"USA, Wielka Brytania",Sci-Fi,2019-2-2
818016,Czarne lustro: Bandersnatch,Black Mirror: Bandersnatch,2018,,5,,"USA, Wielka Brytania","Thriller, Sci-Fi",2019-2-2
798782,Glass,,2019,,5,,USA,Thriller,2019-2-2
619201,Bohemian Rhapsody,,2018,,8,,"USA, Wielka Brytania","Biograficzny, Dramat, Muzyczny",2019-2-2
743233,Spider-Man Uniwersum,Spider-Man: Into the Spider-Verse,2018,,8,,USA,"Animacja, Familijny, Akcja",2019-2-2
816986,IO,,2019,,3,,USA,Sci-Fi,2019-1-24
119043,Autostopem przez galaktykę,The Hitchhiker's Guide to the Galaxy,2005,,6,,"USA, Wielka Brytania","Komedia, Przygodowy, Sci-Fi",2019-1-23
74,Joe Black,Meet Joe Black,1998,,3,,USA,"Fantasy, Melodramat",2019-1-1
505949,Rozpruci na śmierć,The Happytime Murders,2018,,5,,USA,Komedia kryminalna,2018-12-30
794051,Szybki jak śmierć,Speed Kills,2018,,3,,USA,"Biograficzny, Thriller",2018-12-29
611085,Tożsamość nieznana,ID:A,2011,,4,,Dania,Thriller,2018-12-28
810908,Gracze,Joueurs,2018,,3,,Francja,Dramat,2018-12-28
785869,Ucieczka,The Escape,2017,,5,,Wielka Brytania,Dramat,2018-12-27
726369,Nie otwieraj oczu,Bird Box,2018,,5,,USA,"Thriller, Sci-Fi",2018-12-25
703619,Sprawa Lucii de B,Lucia de B.,2014,,6,,Holandia,"Thriller, Psychologiczny",2018-12-14
786216,Eskorta,Mile 22,2018,,4,,USA,Akcja,2018-12-14
742783,Widzę tylko ciebie,All I See Is You,2016,,5,,"USA, Tajlandia",Thriller,2018-12-13
3928,Arlington Road,,1999,,6,,USA,"Dramat, Thriller",2018-12-12
519906,Venom,,2018,,6,,"Chiny, USA","Akcja, Sci-Fi",2018-12-2
803615,Creed II,,2018,,7,,USA,"Dramat, Sportowy",2018-12-2
639711,Moja kolacja z Herve,My Dinner with Hervé,2018,,7,,USA,"Biograficzny, Dramat",2018-12-2
763013,Przysięga,Eiðurinn,2016,,7,,Islandia,"Thriller, Psychologiczny",2018-12-2
662836,Siedmiu wspaniałych,The Magnificent Seven,2016,,5,,USA,Western,2018-12-1
739951,Skok stulecia,Den of Thieves,2018,,7,,USA,Sensacyjny,2018-11-30
31210,"Człowiek, którego nie było",The Man Who Wasn't There,2001,,7,,"USA, Wielka Brytania","Dramat, Kryminał",2018-11-24
730791,Embers,,2015,,7,,"Polska, USA",Sci-Fi,2018-11-24
765538,Hostiles,,2017,,4,,USA,"Dramat, Western",2018-11-22
325418,Thor,,2011,,7,,USA,"Fantasy, Przygodowy",2018-11-16
430428,Surogaci,Surrogates,2009,,7,,USA,"Thriller, Sci-Fi",2018-11-15
792197,Pororoca,,2017,,7,,"Francja, Rumunia",Dramat,2018-11-14
721,Zakochana złośnica,10 Things I Hate About You,1999,,7,,USA,"Komedia, Dla młodzieży",2018-11-13
500232,Greenberg,,2010,,5,,USA,"Dramat, Komedia, Romans",2018-11-13
757751,Zanurzeni,Submergence,2017,,2,,"Francja, Hiszpania, Niemcy, USA","Melodramat, Thriller",2018-11-7
791088,Berek,Tag,2018,,6,,USA,Komedia,2018-10-22
779305,To przychodzi po zmroku,It Comes at Night,2017,,7,,USA,Horror,2018-10-21
778875,Hotel Artemis,,2018,,5,,"USA, Wielka Brytania","Thriller, Akcja, Sci-Fi",2018-10-17
755620,Ant-Man i Osa,Ant-Man and the Wasp,2018,,5,,"USA, Wielka Brytania","Akcja, Sci-Fi",2018-10-11
796568,Akt przemocy,Acts of Violence,2018,,3,,Kanada,"Dramat, Akcja",2018-10-11
214369,Duchy Goi,Goya's Ghosts,2006,,7,,"Hiszpania, USA","Biograficzny, Dramat, Kostiumowy",2018-10-10
496780,Ostatnia przystań,The Last Harbor,2010,,2,,USA,Thriller,2018-10-10
793882,Powstrzymać mrok,Hold the Dark,2018,,brak oceny,,USA,Thriller,2018-10-8
375721,Miasto złodziei,The Town,2010,,7,,USA,"Dramat, Kryminał",2018-10-7
746246,The Meg,,2018,,6,,"Chiny, USA","Horror, Akcja, Sci-Fi",2018-9-26
776171,Sicario 2: Soldado,Sicario: Day of the Soldado,2018,,7,,USA,"Thriller, Akcja",2018-9-26
10029,Obława,Takedown,2000,,7,,USA,"Thriller, Akcja",2018-9-24
37335,Wyścig z czasem,Out of Time,2003,,5,,USA,"Kryminał, Thriller",2018-9-24
802930,Dziedzictwo. Hereditary,Hereditary,2018,,6,,USA,"Dramat, Horror",2018-9-24
608065,Wywiad rodzinny,R.I.F. (Recherche dans l'Intérêt des Familles),2011,,6,,Francja,Thriller,2018-9-24
723027,Predator,The Predator,2018,,6,,"Kanada, USA","Akcja, Sci-Fi",2018-9-24
760272,mother!,Mother!,2017,,7,,USA,Horror,2018-9-24
119659,Wszyscy ludzie króla,All the King's Men,2006,,7,,"Niemcy, USA","Dramat, Thriller, Polityczny",2018-9-22
713866,Dziewczyny śmierci,The Final Girls,2015,,6,,USA,"Horror, Komedia",2018-9-22
1476,Święty dym,Holy Smoke,1999,,3,,"Australia, USA","Dramat obyczajowy, Psychologiczny",2018-9-22
322874,Transfer,Rendition,2007,,7,,USA,"Dramat, Thriller",2018-9-21
780203,Ostateczna rozgrywka,Final Score,2018,,5,,Wielka Brytania,Akcja,2018-9-20
734586,Bez litości 2,The Equalizer 2,2018,,7,,USA,"Thriller, Akcja",2018-9-18
782853,Welcome the Stranger,,2018,,3,,USA,Dramat,2018-9-16
796891,Dziewczyna we mgle,La ragazza nella nebbia,2017,,7,,"Francja, Niemcy, Włochy","Kryminał, Thriller",2018-9-16
757444,Ocean's 8,,2018,,4,,USA,Komedia kryminalna,2018-9-14
546975,127 godzin,127 Hours,2010,,6,,"USA, Wielka Brytania",Dramat,2018-9-13
491321,Blitz,,2011,,4,,"Francja, USA, Wielka Brytania","Kryminał, Thriller",2018-9-12
782021,Bliźnięta,Gemini,2017,,5,,USA,Thriller,2018-9-12
7971,Na krawędzi,Cliffhanger,1993,,5,,"Francja, USA, Włochy","Przygodowy, Thriller",2018-9-10
807151,UFO,,2018,,6,,USA,"Thriller, Sci-Fi",2018-9-5
631256,Rozłączeni,Disconnect,2012,,5,,USA,"Dramat, Thriller",2018-9-4
781685,Sweet Virginia,,2017,,4,,"Kanada, USA","Dramat, Thriller",2018-9-4
788644,41 dni nadziei,Adrift,2018,,4,,"Hongkong, Islandia, USA",Dramat,2018-9-3
688373,Początek,I Origins,2014,,3,,USA,"Dramat, Sci-Fi",2018-8-31
673091,Anomalisa,,2015,,6,,"USA, Wielka Brytania","Animacja, Dramat, Komedia",2018-8-29
760429,Deadpool 2,,2018,,7,,USA,"Komedia, Akcja, Sci-Fi",2018-8-27
789211,Skradziona córka,Separated at Birth,2018,,5,,Kanada,Thriller,2018-8-27
772700,Najlepszy,,2017,,6,,Polska,"Biograficzny, Obyczajowy, Sportowy",2018-8-15
443610,Niepowstrzymany,Unstoppable,2010,,7,,USA,"Thriller, Akcja",2018-8-13
740757,Gold,,2016,,6,,USA,"Dramat, Przygodowy",2018-8-12
786296,1922,,2017,,4,,USA,"Dramat, Thriller",2018-8-12
503386,Pomniejszenie,Downsizing,2017,,5,,USA,"Dramat, Komedia, Sci-Fi",2018-8-12
781007,Blok 99,Brawl in Cell Block 99,2017,,6,,USA,"Kryminał, Thriller, Akcja",2018-8-11
807467,Zemsta,Revenge,2017,,4,,"Belgia, Francja","Thriller, Akcja",2018-8-11
5206,Droga przez piekło,U Turn,1997,,7,,"Francja, USA","Dramat, Kryminał, Thriller",2018-8-7
121935,Przez ciemne zwierciadło,A Scanner Darkly,2006,,7,,USA,"Animacja, Thriller, Sci-Fi",2018-8-6
776170,Tully,,2018,,6,,USA,"Dramat, Komedia",2018-8-5
796010,Salut 7,Salyut-7,2017,,6,,Rosja,Dramat,2018-8-5
995,Terminator,The Terminator,1984,,6,,"USA, Wielka Brytania","Akcja, Sci-Fi",2018-8-4
706026,Syndrom berliński,Berlin Syndrome,2017,,6,,Australia,Thriller,2018-8-3
774747,Gra o wszystko,Molly's Game,2017,,5,,USA,"Biograficzny, Dramat",2018-7-28
682170,W głowie się nie mieści,Inside Out,2015,,7,,USA,"Animacja, Komedia",2018-7-24
802898,Niepoczytalna,Unsane,2018,,5,,USA,Thriller,2018-7-9
616664,Kroniki lombardu,Pawn Shop Chronicles,2013,,4,,USA,"Dramat, Komedia",2018-6-26
782287,Ogary miłości,Hounds of Love,2016,,5,,Australia,Kryminał,2018-6-21
754958,Cudzoziemiec,The Foreigner,2017,,6,,"Chiny, USA, Wielka Brytania","Thriller, Akcja",2018-6-12
757545,Zanim odejdę,Before I Fall,2017,,4,,USA,Dramat,2018-6-10
767751,Przebudzenie dusz,Ghost Stories,2017,,6,,Wielka Brytania,Horror,2018-6-10
758909,Jurassic World: Upadłe królestwo,Jurassic World: Fallen Kingdom,2018,,5,,USA,"Przygodowy, Sci-Fi",2018-6-10
757913,Wieczór gier,Game Night,2018,,5,,USA,Komedia,2018-6-7
792452,Wszystkie pieniądze świata,All the Money in the World,2017,,3,,"USA, Wielka Brytania",Thriller,2018-6-6
112697,451° Fahrenheita,Fahrenheit 451,2018,,3,,USA,"Dramat, Sci-Fi",2018-5-22
803161,Ładunek,Cargo,2017,,6,,Australia,Thriller,2018-5-19
719245,Umysł przestępcy,Criminal,2016,,5,,"USA, Wielka Brytania","Dramat, Kryminał, Akcja",2018-5-19
931,28 dni,28 days,2000,,6,,USA,Dramat,2018-5-19
768105,Ghostland,,2018,,8,,"Francja, Kanada",Horror,2018-5-17
795912,Ciche miejsce,A Quiet Place,2018,,7,,USA,"Horror, Sci-Fi",2018-5-17
765124,Mama i tata,Mom and Dad,2017,,4,,USA,Horror,2018-5-15
766688,Życzenie śmierci,Death Wish,2018,,5,,USA,Sensacyjny,2018-5-14
787686,M jak morderca,Hangman,2017,,2,,USA,"Kryminał, Thriller",2018-5-14
746114,Morderstwo w Orient Expressie,Murder on the Orient Express,2017,,3,,"Francja, Kanada, Nowa Zelandia, USA, Wielka Brytania, Malta",Kryminał,2018-5-8
763618,Anon,,2018,,3,,Niemcy,"Thriller, Sci-Fi",2018-5-7
670711,Czasy ostateczne: Pozostawieni,Left Behind,2014,,4,,USA,"Thriller, Akcja, Sci-Fi",2018-5-7
544699,Taśmy Watykanu,The Vatican Tapes,2015,,4,,USA,Horror,2018-5-1
560109,Pasażer,The Commuter,2018,,6,,"USA, Wielka Brytania",Thriller,2018-4-29
690820,Pokot,,2017,,5,,"Czechy, Niemcy, Polska, Szwecja, Słowacja","Dramat, Kryminał",2018-4-16
790309,Cicha noc,,2017,,8,,Polska,"Dramat, Komedia",2018-4-16
1466,Lara Croft: Tomb Raider,,2001,,5,,"Japonia, Niemcy, USA, Wielka Brytania",Przygodowy,2018-4-10
34196,Lara Croft Tomb Raider: Kolebka życia,Lara Croft Tomb Raider: The Cradle of Life,2003,,5,,"Japonia, Niemcy, USA, Wielka Brytania",Przygodowy,2018-4-10
4596,Obywatel X,Citizen X,1995,,7,,USA,Thriller,2018-4-8
557479,Tomb Raider,,2018,,3,,"USA, Wielka Brytania",Przygodowy,2018-4-8
275064,Tulipanowa gorączka,Tulip Fever,2017,,3,,"USA, Wielka Brytania","Kostiumowy, Melodramat",2018-4-2
762864,Lady Bird,,2017,,5,,USA,"Dramat, Komedia",2018-4-2
755619,The Titan,,2018,,4,,"Hiszpania, USA, Wielka Brytania",Sci-Fi,2018-4-2
562677,Punkt zwrotny,The Ledge,2011,,3,,"Niemcy, USA, Arabia Saudyjska","Dramat, Thriller",2018-4-2
627942,Anna,,2013,,6,,"Francja, Hiszpania, USA",Thriller,2018-4-1
776169,Zabicie świętego jelenia,The Killing of a Sacred Deer,2017,,6,,"Irlandia, Wielka Brytania",Thriller,2018-3-31
270485,Świadek bez pamięci,The Lookout,2007,,5,,USA,"Dramat, Kryminał",2018-3-31
709847,Powrót do Heaven's Veil,The Veil,2016,,4,,USA,Horror,2018-3-30
742795,Skazany,Shot Caller,2017,,7,,USA,"Dramat, Thriller",2018-3-28
775970,Kształt wody,The Shape of Water,2017,,3,,USA,Fantasy,2018-3-26
730844,Anihilacja,Annihilation,2018,,4,,"USA, Wielka Brytania","Thriller, Sci-Fi",2018-3-12
773236,Czerwona jaskółka,Red Sparrow,2018,,3,,USA,"Thriller, Szpiegowski",2018-3-12
671824,Outsider,The Outsider,2018,,3,,USA,"Thriller, Akcja",2018-3-12
788923,"Jestem najlepsza. Ja, Tonya","I, Tonya",2017,,8,,USA,"Biograficzny, Dramat, Sportowy",2018-3-10
522361,Amerykanin,The American,2010,,5,,USA,"Dramat, Thriller",2018-3-6
444424,I Love You Phillip Morris,,2009,,7,,"Francja, USA","Biograficzny, Dramat, Komedia",2018-3-5
349764,Wkraczając w pustkę,Enter the Void,2009,,8,,"Francja, Kanada, Niemcy, Włochy","Dramat, Fantasy",2018-3-5
720204,Captain Fantastic,,2016,,7,,USA,Dramat,2018-3-3
786678,The Square,,2017,,5,,"Dania, Francja, Niemcy, Szwecja",Komedia,2018-3-3
426598,Liga Sprawiedliwości,Justice League,2017,,5,,"Kanada, USA, Wielka Brytania","Akcja, Sci-Fi",2018-2-28
775409,Borg/McEnroe. Między odwagą a szaleństwem,Borg McEnroe,2017,,7,,"Dania, Finlandia, Szwecja","Dramat, Sportowy",2018-2-26
730480,Cień,Maryland,2015,,3,,"Belgia, Francja",Thriller,2018-2-23
594358,Czarna Pantera,Black Panther,2018,,6,,"Australia, RPA, USA, Korea Południowa","Akcja, Sci-Fi",2018-2-21
638718,Battlecreek,,2017,,7,,USA,Melodramat,2018-2-18
796602,Rytuał,The Ritual,2017,,3,,Wielka Brytania,Horror,2018-2-12
767406,"Trzy billboardy za Ebbing, Missouri","Three Billboards Outside Ebbing, Missouri",2017,,8,,"USA, Wielka Brytania","Dramat, Komedia, Kryminał",2018-2-12
738846,Photon,,2017,,8,,Polska,"Dramat, Sci-Fi",2018-2-11
634796,Linia życia,Flatliners,2017,,4,,USA,"Horror, Sci-Fi",2018-2-10
750192,The Belko Experiment,,2016,,4,,"USA, Kolumbia","Thriller, Akcja",2018-2-10
801997,Dom otwarty,The Open House,2018,,3,,USA,Thriller,2018-1-23
655591,Zaproszenie,The Invitation,2015,,6,,USA,Thriller,2018-1-20
726818,Pomiędzy nami góry,The Mountain Between Us,2017,,3,,USA,Dramat,2018-1-15
787309,Projekt Floryda,The Florida Project,2017,,5,,USA,Dramat,2018-1-9
633506,Message from the King,,2016,,6,,"Belgia, Francja, USA, Wielka Brytania",Thriller,2018-1-3
748073,OtherLife,,2017,,6,,Australia,"Thriller, Sci-Fi",2018-1-2
668347,Pierwszy śnieg,The Snowman,2017,,4,,"Szwecja, USA, Wielka Brytania",Kryminał,2017-12-29
663259,Bodyguard Zawodowiec,The Hitman's Bodyguard,2017,,6,,"Chiny, Holandia, USA, Bułgaria","Komedia, Akcja",2017-12-23
601988,Iceman: Historia mordercy,The Iceman,2012,,6,,USA,"Biograficzny, Kryminał",2017-12-22
771723,Bright,,2017,,3,,USA,"Fantasy, Akcja",2017-12-22
782776,Thelma,,2017,,6,,"Dania, Francja, Norwegia, Szwecja","Dramat, Fantasy",2017-12-22
763812,Wind River. Na przeklętej ziemi,Wind River,2017,,6,,"Kanada, USA, Wielka Brytania",Thriller,2017-12-21
762838,Pottersville,,2017,,6,,USA,Komedia,2017-12-17
773378,Moja kuzynka Rachela,My Cousin Rachel,2017,,4,,"USA, Wielka Brytania",Melodramat,2017-12-10
628311,American Assassin,,2017,,3,,"Hongkong, USA","Thriller, Akcja",2017-12-10
766875,Dzień patriotów,Patriots Day,2016,,7,,"Hongkong, USA",Thriller,2017-11-19
766551,Pitbull. Niebezpieczne kobiety,,2016,,3,,Polska,"Dramat, Sensacyjny",2017-11-19
484466,Zrodzony w ogniu,Out of the Furnace,2013,,7,,"USA, Wielka Brytania",Thriller,2017-11-19
769844,Na pokuszenie,The Beguiled,2017,,4,,USA,Dramat,2017-11-14
707970,Thor: Ragnarok,,2017,,7,,USA,"Fantasy, Przygodowy",2017-11-12
755384,Atomic Blonde,,2017,,6,,"Niemcy, Szwecja, USA","Thriller, Akcja",2017-11-12
478702,Iron Man 2,,2010,,4,,USA,"Akcja, Sci-Fi",2017-11-6
118708,Elektra,,2005,,4,,"Kanada, USA","Fantasy, Akcja",2017-11-2
122541,Iron Man,,2008,,6,,USA,"Akcja, Sci-Fi",2017-11-2
739293,Lekarstwo na życie,A Cure for Wellness,2016,,5,,"Niemcy, USA",Horror,2017-11-1
714382,Osad,Residue,2015,,3,,Wielka Brytania,Horror,2017-11-1
592775,Mroczna wieża,The Dark Tower,2017,,3,,USA,"Fantasy, Horror",2017-10-19
736411,Baby Driver,,2017,,4,,"USA, Wielka Brytania","Komedia, Akcja",2017-10-15
630798,Blade Runner 2049,,2017,,7,,"Kanada, USA, Węgry, Wielka Brytania","Thriller, Sci-Fi",2017-10-15
776150,Iris,,2016,,3,,"Belgia, Francja",Thriller,2017-10-2
716735,Gra Geralda,Gerald's Game,2017,,6,,USA,Thriller,2017-10-2
736421,Barry Seal: Król przemytu,American Made,2017,,7,,USA,"Dramat, Polityczny",2017-10-2
753082,Amok,,2017,,3,,"Niemcy, Polska, Szwecja",Kryminał,2017-10-1
571114,To,It,2017,,7,,"Kanada, USA",Horror,2017-10-1
743496,Kingsman: Złoty Krąg,Kingsman: The Golden Circle,2017,,6,,"USA, Wielka Brytania","Akcja, Komedia kryminalna",2017-10-1
39495,Pogoda na jutro,,2003,,7,,Polska,"Dramat, Komedia, Obyczajowy",2017-9-26
658802,Przełęcz ocalonych,Hacksaw Ridge,2016,,4,,"Australia, USA","Biograficzny, Dramat, Wojenny",2017-9-26
703800,iBoy,,2017,,3,,Wielka Brytania,"Thriller, Akcja, Sci-Fi",2017-9-26
723068,Surwiwalista,The Survivalist,2015,,5,,Wielka Brytania,Thriller,2017-9-24
201190,Wonder Woman,,2017,,7,,"Chiny, Hongkong, USA","Akcja, Sci-Fi",2017-9-21
1494,451 stopni Fahrenheita,Fahrenheit 451,1966,,3,,Wielka Brytania,"Dramat, Sci-Fi",2017-9-18
224731,Baywatch. Słoneczny patrol,Baywatch,2017,,2,,USA,"Komedia, Akcja",2017-9-17
759717,Mokka,Moka,2016,,7,,"Francja, Szwajcaria",Dramat,2017-9-14
745253,Kontrola absolutna,I.T.,2016,,2,,"Francja, Irlandia, USA",Kryminał,2017-9-14
769502,Pakt krwi,Arsenal,2017,,2,,USA,"Sensacyjny, Thriller",2017-9-14
723653,Niepamięć,Remember,2015,,7,,"Kanada, Meksyk, Niemcy, RPA",Dramat,2017-9-14
722146,Strażnicy Galaktyki vol. 2,Guardians of the Galaxy Vol. 2,2017,,5,,USA,"Akcja, Sci-Fi",2017-9-6
722760,Siedem dni w piekle,7 Days in Hell,2015,,8,,USA,"Komedia, Sportowy",2017-9-2
756152,Obdarowani,Gifted,2017,,6,,USA,Dramat,2017-9-2
563486,Pionek,Pawn Sacrifice,2014,,5,,USA,"Biograficzny, Dramat",2017-8-31
882,Przerwana lekcja muzyki,"Girl, Interrupted",1999,,5,,"Niemcy, USA","Biograficzny, Dramat, Psychologiczny",2017-8-25
879,Nie czas na łzy,Boys Don't Cry,1999,,7,,USA,Dramat,2017-8-25
718541,Snajper: Dziedzictwo,Sniper: Legacy,2014,,3,,USA,"Thriller, Akcja",2017-8-23
124761,W rękach Boga,Something the Lord Made,2004,,7,,USA,"Biograficzny, Dramat",2017-8-12
748224,Okja,,2017,,7,,"USA, Korea Południowa","Dramat, Przygodowy, Sci-Fi",2017-8-12
674146,Mumia,The Mummy,2017,,2,,"Chiny, Japonia, USA","Fantasy, Przygodowy",2017-8-12
748293,The Circle. Krąg,The Circle,2017,,3,,"USA, Zjednoczone Emiraty Arabskie","Thriller, Sci-Fi",2017-8-12
700190,Wojna o planetę małp,War for the Planet of the Apes,2017,,5,,"Kanada, Nowa Zelandia, USA","Dramat, Akcja, Sci-Fi",2017-8-11
659676,Spider-Man: Homecoming,,2017,,7,,USA,"Akcja, Sci-Fi",2017-8-6
727968,Nie oddychaj,Don't Breathe,2016,,3,,USA,Thriller,2017-7-21
107101,Constantine,,2005,,7,,"Niemcy, USA","Fantasy, Thriller",2017-7-16
32598,Niewierna,Unfaithful,2002,,8,,"Francja, Niemcy, USA",Dramat,2017-7-15
744774,Planetarium,,2016,,3,,"Belgia, Francja","Dramat, Fantasy",2017-7-12
752725,Dobrze się kłamie w miłym towarzystwie,Perfetti sconosciuti,2016,,8,,Włochy,"Dramat, Komedia",2017-7-12
685873,Miliardowy okup,Take Down,2016,,4,,USA,Thriller,2017-7-9
786469,Magellan,,2017,,4,,"Australia, USA","Thriller, Sci-Fi",2017-7-9
760093,Kłamstwo,Denial,2016,,7,,"USA, Wielka Brytania","Biograficzny, Dramat sądowy",2017-7-9
180762,Samotne serca,Lonely Hearts,2006,,7,,"Niemcy, USA",Kryminał,2017-7-9
697684,Pojedynek na pustyni,Beyond the Reach,2014,,7,,USA,Thriller,2017-7-8
636740,Prześladowani,Persecuted,2014,,4,,USA,"Dramat, Thriller",2017-7-1
750415,Wilson,,2017,,6,,USA,"Dramat, Komedia",2017-7-1
119831,Wszystko jest iluminacją,Everything Is Illuminated,2005,,7,,USA,"Dramat, Komedia",2017-6-25
597664,Geniusz,Genius,2016,,6,,"USA, Wielka Brytania","Biograficzny, Dramat",2017-6-25
745754,McImperium,The Founder,2016,,6,,USA,"Biograficzny, Dramat",2017-6-25
