ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Komentarz,Kraj produkcji,Gatunek,Data
572703,Protektor,Safe,2012,,4,,USA,"Kryminał, Akcja",2013-5-18
610144,Życie to jest to,La Chispa de la vida,2011,,6,,"Francja, Hiszpania, USA",Czarna komedia,2013-5-14
465969,Czas odkupienia,Not Forgotten,2009,,5,,USA,"Thriller, Akcja",2013-5-13
658833,Olimp w ogniu,Olympus Has Fallen,2013,,4,,USA,"Thriller, Akcja",2013-5-5
645098,Elektryczne dzieci,Electrick Children,2012,,7,,USA,Dramat,2013-4-23
132451,SEXiPIStOLS,Bandidas,2006,,5,,"Francja, Meksyk, USA","Komedia, Western",2013-4-23
653607,Rust and Bone,De rouille et d'os,2012,,8,,"Belgia, Francja",Melodramat,2013-4-19
502884,Nie opuszczaj mnie,Never Let Me Go,2010,,7,,"USA, Wielka Brytania","Melodramat, Sci-Fi",2013-4-19
635169,Układ zamknięty,,2013,,7,,Polska,Thriller,2013-4-17
624742,7 psychopatów,Seven Psychopaths,2012,,8,,Wielka Brytania,Komedia kryminalna,2013-4-13
463050,Pokój śmierci,The Killing Room,2009,,3,,USA,"Dramat, Thriller",2013-4-6
572639,Charlie,The Perks of Being a Wallflower,2012,,7,,USA,Melodramat,2013-3-27
500497,Oddział,The Ward,2010,,3,,USA,Horror,2013-3-27
32356,Adaptacja,Adaptation.,2002,,6,,USA,"Dramat, Komedia",2013-3-26
505181,Łono,Womb,2010,,5,,"Francja, Niemcy, Węgry","Melodramat, Sci-Fi",2013-3-24
624437,4:13 do Katowic,,2011,,8,,Polska,"Thriller, Akcja, Psychologiczny, Krótkometrażowy",2013-3-18
312897,Przesilenie,Solstice,2008,,4,,USA,"Dramat, Horror",2013-3-17
634516,Wyjść na prostą,Smashed,2012,,6,,USA,"Dramat, Komedia",2013-3-9
535232,Internat,The Moth Diaries,2011,,4,,"Irlandia, Kanada",Horror,2013-3-6
569227,Muzyka jest wieczna,The Music Never Stopped,2011,,7,,USA,Dramat,2013-3-5
506803,Poradnik pozytywnego myślenia,Silver Linings Playbook,2012,,7,,USA,"Dramat, Komedia",2013-3-3
638714,Dopóki piłka w grze,Trouble with the Curve,2012,,6,,USA,"Dramat, Sportowy",2013-3-2
234467,"Gdzie jesteś, Amando",Gone Baby Gone,2007,,7,,USA,"Dramat, Kryminał",2013-3-2
629520,Twardziele,Stand Up Guys,2012,,4,,USA,Komedia kryminalna,2013-3-2
475975,Pęknięcia,Cracks,2009,,4,,"Francja, Hiszpania, Irlandia, Szwajcaria, Wielka Brytania","Dramat, Thriller",2013-3-2
639947,Obława,,2012,,6,,Polska,"Thriller, Wojenny, Psychologiczny",2013-2-24
528324,Martha Marcy May Marlene,,2011,,7,,USA,Thriller,2013-2-23
624521,Whisky dla aniołów,The Angels' Share,2012,,7,,"Belgia, Francja, Wielka Brytania, Włochy","Dramat, Komedia",2013-2-22
627517,Droga milionerów,The Millionaire Tour,2012,,5,,USA,"Thriller, Akcja",2013-2-19
559816,Lockout,,2012,,4,,Francja,"Thriller, Akcja, Sci-Fi",2013-2-14
583649,Gangster Squad. Pogromcy mafii,Gangster Squad,2013,,5,,USA,"Dramat, Gangsterski",2013-2-11
558718,Dobry doktor,The Good Doctor,2011,,6,,USA,"Dramat, Thriller",2013-2-5
524303,Sesje,The Sessions,2012,,8,,USA,"Dramat, Komedia, Romans",2013-2-5
544030,Ptactwo powietrzne,A Bird of the Air,2011,,7,,USA,Melodramat,2013-2-5
620541,Django,Django Unchained,2012,,6,,USA,Western,2013-2-4
631979,Drogówka,,2013,,7,,Polska,"Kryminał, Obyczajowy",2013-2-2
642662,Dziewczyna Hitchcocka,The Girl,2012,,6,,"RPA, USA, Wielka Brytania","Biograficzny, Dramat",2013-1-30
481673,Zagubiony,How I Got Lost,2009,,5,,USA,Dramat,2013-1-29
629688,Raid,Serbuan maut,2011,,6,,"Francja, USA, Indonezja",Akcja,2013-1-29
628396,Robot i Frank,Robot & Frank,2012,,5,,USA,"Dramat, Sci-Fi, Komedia kryminalna",2013-1-28
565775,Kozy,Goats,2012,,4,,USA,Komedia,2013-1-28
535423,Kłopoty z Blissem,East Fifth Bliss,2011,,4,,USA,"Dramat, Komedia",2013-1-26
484600,"Spadaj, tato",That's My Boy,2012,,2,,USA,Komedia,2013-1-24
395230,Autobus z lotniska,Shuttle,2008,,4,,USA,"Dramat, Kryminał, Thriller",2013-1-22
530650,Porąbani,Tucker and Dale vs. Evil,2010,,8,,"Indie, Kanada, USA, Wielka Brytania",Czarna komedia,2013-1-16
606085,12 godzin,Stolen,2012,,4,,USA,"Dramat, Akcja",2013-1-13
636659,Lepsze życie,Une vie meilleure,2011,,6,,Francja,Dramat,2013-1-11
625386,Pokusa,The Paperboy,2012,,6,,USA,"Dramat, Thriller",2013-1-6
521098,Zjawy,The Apparition,2012,,3,,USA,Horror,2012-12-31
394009,Odbicie zła,The Brøken,2008,,4,,"Francja, Wielka Brytania",Thriller,2012-12-31
602895,Thorne: Kokon,Thorne: Sleepyhead,2010,,6,,Wielka Brytania,"Dramat, Kryminał, Thriller",2012-12-31
537177,Pół na pół,50/50,2011,,6,,USA,"Dramat, Komedia",2012-12-27
624792,Bogowie ulicy,End of Watch,2012,,7,,USA,"Kryminał, Thriller",2012-12-27
565989,2 dni w Nowym Jorku,2 Days in New York,2012,,3,,"Belgia, Francja, Niemcy",Komedia,2012-12-22
604523,Kochankowie z Księżyca. Moonrise Kingdom,Moonrise Kingdom,2012,,6,,USA,"Dramat, Komedia, Romans",2012-12-21
591326,Attenberg,,2010,,5,,Grecja,Dramat,2012-12-21
593957,Resident Evil: Retrybucja,Resident Evil: Retribution,2012,,2,,"Francja, Kanada, Niemcy, USA","Horror, Akcja",2012-12-19
556399,Essential Killing,,2010,,7,,"Francja, Irlandia, Norwegia, Polska, Węgry","Thriller, Wojenny",2012-12-18
595678,Najsamotniejsza z planet,The Loneliest Planet,2011,,8,,"Niemcy, USA","Dramat, Thriller",2012-12-16
483190,Klatka,Isolerad,2010,,4,,Szwecja,Thriller,2012-12-11
607562,Gangster,Lawless,2012,,6,,USA,"Dramat, Gangsterski",2012-12-2
569908,Looper - Pętla czasu,Looper,2012,,4,,"Chiny, USA","Akcja, Sci-Fi",2012-11-29
572325,Savages: Ponad bezprawiem,Savages,2012,,6,,USA,"Kryminał, Thriller",2012-11-27
341466,33 sceny z życia,,2008,,6,,"Niemcy, Polska","Dramat, Psychologiczny",2012-11-21
228118,Scoop - Gorący temat,Scoop,2006,,5,,"USA, Wielka Brytania",Komedia kryminalna,2012-11-9
490841,Zeszłej nocy,Last Night,2010,,6,,"Francja, USA",Melodramat,2012-11-8
451244,Skyfall,,2012,,8,,"USA, Wielka Brytania",Sensacyjny,2012-11-5
468065,Ile waży koń trojański?,,2008,,5,,Polska,Komedia,2012-10-22
944,Patriota,The Patriot,2000,,3,,"Niemcy, USA",Dramat historyczny,2012-10-21
601997,Red Lights,,2012,,5,,"Hiszpania, USA","Dramat, Thriller",2012-10-14
843,Chłopaki nie płaczą,,2000,,8,,Polska,"Komedia, Sensacyjny",2012-9-30
345833,Życie przed oczami,The Life Before Her Eyes,2007,,6,,USA,"Dramat, Thriller",2012-9-17
485802,Musimy porozmawiać o Kevinie,We Need to Talk About Kevin,2011,,7,,"USA, Wielka Brytania","Dramat, Psychologiczny",2012-9-17
605576,Emergo,,2011,,7,,Hiszpania,Horror,2012-9-16
32362,"Złap mnie, jeśli potrafisz",Catch Me If You Can,2002,,7,,"Kanada, USA",Komedia kryminalna,2012-9-14
235793,Zaczarowana,Enchanted,2007,,6,,USA,"Familijny, Fantasy, Przygodowy",2012-9-14
202908,Labirynt fauna,El laberinto del fauno,2006,,7,,"Hiszpania, Meksyk, USA","Dramat, Fantasy",2012-9-14
592693,Człowiek z Cold Rock,The Tall Man,2012,,6,,"Francja, Kanada, USA",Thriller,2012-9-10
595010,Niezniszczalni 2,The Expendables 2,2012,,7,,USA,Akcja,2012-9-7
616141,Zakochani w Rzymie,To Rome with Love,2012,,6,,"Hiszpania, USA, Włochy",Komedia rom.,2012-9-5
587177,Z dystansu,Detachment,2011,,7,,USA,Dramat,2012-9-4
608508,Lista płatnych zleceń,Kill List,2011,,7,,Wielka Brytania,"Kryminał, Thriller",2012-8-28
623521,Hans Kloss. Stawka większa niż śmierć,,2012,,4,,Polska,"Sensacyjny, Wojenny",2012-8-28
608593,Yuma,,2012,,2,,"Czechy, Polska","Dramat, Sensacyjny",2012-8-16
611896,She Monkeys,Apflickorna,2011,,6,,Szwecja,Dramat,2012-8-11
506756,Mroczny Rycerz powstaje,The Dark Knight Rises,2012,,5,,"USA, Wielka Brytania","Akcja, Sci-Fi",2012-8-6
523230,Prometeusz,Prometheus,2012,,7,,"USA, Wielka Brytania","Horror, Sci-Fi",2012-7-24
