,ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,Akcja,Animacja,Biblijny,Biograficzny,Czarna komedia,Dla młodzieży,Dokumentalizowany,Dokumentalny,Dramat,Dramat historyczny,Dramat obyczajowy,Dramat sądowy,Erotyczny,Familijny,Fantasy,Film-Noir,Gangsterski,Historyczny,Horror,Katastroficzny,Komedia,Komedia kryminalna,Komedia obycz.,Komedia rom.,Kostiumowy,Kryminał,Krótkometrażowy,Melodramat,Musical,Muzyczny,Nowele filmowe,Obyczajowy,Polityczny,Przygodowy,Psychologiczny,Religijny,Romans,Sci-Fi,Sensacyjny,Sportowy,Surrealistyczny,Szpiegowski,Thriller,Western,Wojenny,Arabia Saudyjska,Argentyna,Australia,Austria,Belgia,Brazylia,Bułgaria,Chile,Chiny,Cypr,Czechy,Dania,Estonia,Filipiny,Finlandia,Francja,Grecja,Hiszpania,Holandia,Hongkong,Indie,Indonezja,Irlandia,Islandia,Izrael,Japonia,Kanada,Kolumbia,Korea Południowa,Luksemburg,Malta,Meksyk,Niemcy,Norwegia,Nowa Zelandia,Polska,Portoryko,RPA,Rosja,Rumunia,Serbia,Szwajcaria,Szwecja,Słowacja,Tajlandia,Tajwan,Turcja,USA,Wielka Brytania,Węgry,Włochy,Zjednoczone Emiraty Arabskie,budget,boxoffice,topics_count,originalTitle,startYear,genre_eng,titleType,primaryTitle,isAdult,endYear,runtimeMinutes,genres,averageRating,numVotes,similarity,diff,averageRating_int
20,106411,X-Men: Ostatni bastion,X-Men: The Last Stand,2006,0,5,"Kanada, USA, Wielka Brytania","Akcja, Sci-Fi",2016-8-19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,105000000,133718711,75.0,X-Men: The Last Stand,2006,"action, sci-fi",movie,X-Men: The Last Stand,0,\N,104,"Action,Sci-Fi",6.7,462188,0,-1.7000000000000002,7
21,106415,Krucjata Bourne'a,The Bourne Supremacy,2004,0,8,"Niemcy, USA",Sensacyjny,2011-10-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20000000,60427839,401.0,The Bourne Supremacy,2004,sensacyjny,movie,The Bourne Supremacy,0,\N,108,"Action,Mystery,Thriller",7.7,413653,0,0.2999999999999998,8
22,1069,Fisher King,The Fisher King,1991,0,8,USA,"Dramat, Komedia",2011-10-20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29000000,168839459,421.0,The Fisher King,1991,"drama, comedy",movie,The Fisher King,0,\N,137,"Comedy,Drama,Fantasy",7.5,74813,0,0.5,8
23,1070,Miasteczko Twin Peaks. Ogniu krocz za mną.,Twin Peaks: Fire Walk with Me,1992,0,8,"Francja, USA","Dramat, Thriller",2011-10-20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16500000,45360915,204.0,Twin Peaks: Fire Walk with Me,1992,"drama, thriller",movie,Twin Peaks: Fire Walk with Me,0,\N,134,"Drama,Horror,Mystery",7.3,78996,0,0.7000000000000002,7
24,10746,Obietnica,The Pledge,2001,0,7,USA,"Dramat, Kryminał",2019-2-9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,50000000,104478416,215.0,The Pledge,2001,"drama, crime",movie,The Pledge,0,\N,124,"Crime,Drama,Mystery",6.8,50929,0,0.20000000000000018,7
25,107554,Nadchodzi Polly,Along Came Polly,2004,0,5,USA,Komedia rom.,2011-10-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10000000,2897757,30.0,Along Came Polly,2004,komedia rom.,movie,Along Came Polly,0,\N,90,"Comedy,Romance",5.9,120302,0,-0.9000000000000004,6
26,107556,Amerykańska sielanka,American Pastoral,2016,0,6,USA,Dramat,2017-5-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,34210862,1009474,82.0,American Pastoral,2016,drama,movie,American Pastoral,0,\N,108,"Crime,Drama",6.1,13570,0,-0.09999999999999964,6
27,107590,Bliżej,Closer,2004,0,7,"USA, Wielka Brytania",Melodramat,2011-10-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,130000000,119269486,190.0,Closer,2004,melodramat,movie,Closer,0,\N,104,"Drama,Romance",7.2,193481,0,-0.20000000000000018,7
28,107855,Zakochany bez pamięci,Eternal Sunshine of the Spotless Mind,2004,0,6,USA,"Dramat, Sci-Fi",2011-10-19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22000000,34275987,210.0,Eternal Sunshine of the Spotless Mind,2004,"drama, sci-fi",movie,Eternal Sunshine of the Spotless Mind,0,\N,108,"Drama,Romance,Sci-Fi",8.3,845235,0,-2.3000000000000007,8
29,108116,Noi Albinoi,Nói albinói,2003,0,8,"Dania, Islandia, Niemcy, Wielka Brytania",Dramat,2011-10-19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15000000,35097815,291.0,Nói albinói,2003,drama,movie,Noi the Albino,0,\N,93,Drama,7.3,8790,0,0.7000000000000002,7
