ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,Rok,OcenaImdb,KrajKod,originalTitle,startYear,genre_eng
616947,Faceci od kuchni,Comme un chef,2012,0,6,"Francja, Hiszpania",Komedia,2015-6-22,2015,3.0,"['FRA', 'ESP']",Comme un chef,2012,comedy
337366,Zabójczy wirus,Carriers,2009,0,6,USA,"Dramat, Horror",2015-6-20,2015,3.0,['USA'],Carriers,2009,"drama, horror"
609699,Ted,,2012,0,4,USA,Komedia,2015-6-18,2015,2.0,['USA'],,2012,comedy
95747,Mad Max: Na drodze gniewu,Mad Max: Fury Road,2015,1,9,"Australia, USA","Sensacyjny, Sci-Fi",2015-5-28,2015,4.5,"['AUS', 'USA']",Mad Max: Fury Road,2015,"sensacyjny, sci-fi"
684940,Czworo do pary,The One I Love,2014,0,8,USA,"Dramat, Komedia rom.",2015-5-27,2015,4.0,['USA'],The One I Love,2014,"drama, komedia rom."
649608,Snowpiercer: Arka przyszłości,Snowpiercer,2013,0,8,"Czechy, Francja, USA, Korea Południowa","Thriller, Akcja, Sci-Fi",2015-5-26,2015,4.0,"['CZE', 'FRA', 'USA', 'KOR']",Snowpiercer,2013,"thriller, action, sci-fi"
107563,Robot Jox 1: Bezlitośni mordercy,Robot Jox,1989,0,7,USA,"Akcja, Sci-Fi",2015-5-18,2015,3.5,['USA'],Robot Jox,1989,"action, sci-fi"
630041,Automata,Autómata,2014,0,7,"Hiszpania, Kanada, USA, Bułgaria","Thriller, Sci-Fi",2015-5-18,2015,3.5,"['ESP', 'CAN', 'USA', 'BGR']",Autómata,2014,"thriller, sci-fi"
671888,Mapy gwiazd,Maps to the Stars,2014,0,7,"Francja, Kanada, Niemcy, USA",Dramat,2015-5-15,2015,3.5,"['FRA', 'CAN', 'DEU', 'USA']",Maps to the Stars,2014,drama
657859,Witaj w klubie,Dallas Buyers Club,2013,0,6,USA,"Biograficzny, Dramat",2015-5-14,2015,3.0,['USA'],Dallas Buyers Club,2013,"biographic, drama"
692649,Sygnał,The Signal,2014,0,6,USA,"Thriller, Sci-Fi",2015-5-11,2015,3.0,['USA'],The Signal,2014,"thriller, sci-fi"
197,Wielkie nadzieje,Great Expectations,1998,0,5,USA,Melodramat,2015-5-4,2015,2.5,['USA'],Great Expectations,1998,melodramat
216784,Kobieta w błękitnej wodzie,Lady in the Water,2006,0,3,USA,"Dramat, Fantasy",2015-5-4,2015,1.5,['USA'],Lady in the Water,2006,"drama, fantasy"
200209,Nostalgia anioła,The Lovely Bones,2009,0,4,"Nowa Zelandia, USA, Wielka Brytania","Dramat, Fantasy",2015-5-4,2015,2.0,"['NZL', 'USA', 'GBR']",The Lovely Bones,2009,"drama, fantasy"
8579,"Patrzę na ciebie, Marysiu",,1999,0,4,Polska,"Dramat, Psychologiczny",2015-5-4,2015,2.0,['POL'],,1999,"drama, psychologiczny"
31334,Scooby-Doo,,2002,0,1,"Australia, USA","Familijny, Fantasy, Komedia, Przygodowy",2015-5-4,2015,0.5,"['AUS', 'USA']",,2002,"familijny, fantasy, comedy, przygodowy"
667468,System,Child 44,2015,0,7,"Czechy, Rosja, USA, Wielka Brytania, Rumunia","Dramat, Thriller",2015-4-29,2015,3.5,"['CZE', 'RUS', 'USA', 'GBR', 'ROU']",Child 44,2015,"drama, thriller"
546202,Rogi,Horns,2013,0,8,"Kanada, USA",Horror,2015-4-27,2015,4.0,"['CAN', 'USA']",Horns,2013,horror
706448,Fanka,Elle l'adore,2014,0,6,Francja,"Dramat, Komedia",2015-4-17,2015,3.0,['FRA'],Elle l'adore,2014,"drama, comedy"
820,Odwieczny wróg,Phantoms,1998,0,7,"Japonia, USA","Dramat, Horror, Sci-Fi",2015-4-14,2015,3.5,"['JPN', 'USA']",Phantoms,1998,"drama, horror, sci-fi"
688030,Piramida,The Pyramid,2014,0,4,USA,Horror,2015-4-14,2015,2.0,['USA'],The Pyramid,2014,horror
622009,Demony,The Devil Inside,2012,0,3,USA,Horror,2015-4-14,2015,1.5,['USA'],The Devil Inside,2012,horror
714528,Coś za mną chodzi,It Follows,2014,0,8,USA,Horror,2015-4-9,2015,4.0,['USA'],It Follows,2014,horror
